,Shading Maps
73,"[[ 4.97787611  5.03318584  2.82079646  0.94026549  1.99115044  6.74778761]
 [10.         10.         10.          2.71017699  2.43362832  5.97345133]
 [10.         10.         10.          4.70132743  2.32300885  4.86725664]
 [ 8.46238938 10.         10.          5.36504425  2.37831858  1.54867257]
 [ 2.71017699  4.92256637 10.          7.30088496  1.93584071  1.27212389]
 [ 0.1659292   3.31858407 10.          7.07964602  2.32300885  2.04646018]
 [ 0.05530973  1.4380531   7.07964602  5.36504425  5.80752212  5.42035398]
 [ 0.          0.44247788  2.10176991  5.53097345 10.         10.        ]
 [ 0.05530973  0.1659292   1.4380531   6.58185841 10.         10.        ]
 [ 0.          0.1659292   0.94026549  7.02433628 10.          7.57743363]]"
74,"[[ 0.          1.06382979  3.38491296  6.47969052  8.6073501  10.        ]
 [ 0.0967118   1.83752418  2.61121857  2.90135397  3.33655706  1.98259188]
 [ 2.65957447  4.49709865  3.33655706  6.86653772  1.16054159  8.3655706 ]
 [ 4.88394584  3.96518375  7.05996132  2.32108317  4.98065764  8.4622824 ]
 [ 3.72340426  7.9303675   5.51257253  0.53191489  5.36750484  0.77369439]
 [ 7.49516441 10.          0.67698259  1.54738878  4.30367505  1.06382979]
 [10.          1.74081238  3.04642166  6.57640232 10.          6.18955513]
 [ 8.0270793   6.43133462  4.25531915 10.         10.          6.57640232]
 [ 3.19148936  2.36943907  1.01547389 10.         10.          3.23984526]
 [ 5.46421663  6.52804642  2.07930368  5.22243714 10.          1.93423598]]"
75,"[[ 0.72992701  1.33819951  0.79075426  0.1216545   0.          0.1216545 ]
 [ 6.32603406  9.79318735  9.00243309  3.64963504  2.37226277  3.83211679]
 [10.         10.         10.          7.66423358  5.53527981  8.39416058]
 [ 3.83211679  3.95377129  4.19708029  2.18978102  2.61557178 10.        ]
 [ 1.21654501  2.18978102  2.18978102  4.74452555  8.09002433 10.        ]
 [ 0.1216545   1.58150852  9.00243309 10.         10.         10.        ]
 [ 2.55474453  9.91484185 10.         10.         10.         10.        ]
 [ 5.96107056  8.02919708 10.         10.         10.          4.86618005]
 [ 2.55474453  6.50851582  6.99513382  6.81265207  1.64233577  1.03406326]
 [ 0.30413625  1.76399027  3.40632603  5.96107056  7.42092457  5.47445255]]"
76,"[[ 0.81573896  1.48752399  3.59884837  5.47024952  2.3512476   1.34357006]
 [ 0.9596929   2.63915547  6.95777351  3.40690979  1.9193858   0.76775432]
 [ 2.63915547  9.4049904   6.04606526  2.11132438  1.05566219  2.63915547]
 [ 8.39731286 10.          6.33397313  4.7024952   5.80614203  9.64491363]
 [10.         10.         10.         10.         10.          7.00575816]
 [ 3.21497121 10.         10.         10.          6.86180422  5.03838772]
 [ 9.06909789  7.91746641  3.50287908 10.         10.          2.20729367]
 [ 1.63147793  1.05566219  2.39923225  6.57389635  3.69481766  0.9596929 ]
 [ 0.86372361  2.25527831  2.63915547  3.79078695  6.42994242 10.        ]
 [ 2.06333973  2.92706334  1.67946257  0.14395393  0.04798464  0.        ]]"
77,"[[ 8.25415677  7.304038    0.          0.          0.05938242  0.        ]
 [10.          0.47505938  0.          7.12589074  2.73159145  0.        ]
 [ 1.84085511  0.          0.         10.          8.61045131  0.        ]
 [ 0.          0.          0.         10.          3.68171021  0.11876485]
 [ 0.          0.          0.05938242  0.83135392  0.59382423  0.11876485]
 [ 0.11876485  0.17814727  0.29691211  1.18764846  2.49406176  1.66270784]
 [ 0.53444181  1.06888361  2.01900238  4.51306413  8.13539192  8.61045131]
 [ 2.37529691  3.9192399   3.97862233 10.         10.         10.        ]
 [ 5.93824228  8.72921615 10.         10.         10.         10.        ]
 [ 8.19477435 10.         10.         10.         10.         10.        ]]"
78,"[[ 0.61728395  2.09876543  5.37037037  5.          4.75308642  3.82716049]
 [ 2.59259259  7.16049383 10.         10.         10.          8.14814815]
 [ 4.56790123 10.         10.         10.         10.          9.9382716 ]
 [ 7.65432099 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.         10.        ]
 [ 5.0617284   8.39506173 10.         10.         10.         10.        ]
 [ 6.48148148  7.03703704  8.51851852 10.          3.7654321   2.16049383]
 [ 7.03703704  6.66666667  5.43209877  3.7654321   1.17283951  0.0617284 ]
 [ 4.9382716   5.92592593  3.27160494  1.79012346  0.24691358  0.        ]
 [ 1.72839506  2.16049383  1.72839506  0.74074074  0.30864198  0.        ]]"
79,"[[ 0.          0.1059322   0.84745763  2.91313559  7.78601695 10.        ]
 [ 0.          0.42372881  3.86652542 10.         10.          8.79237288]
 [ 0.58262712  2.91313559 10.         10.         10.          3.76059322]
 [ 2.27754237  7.99788136 10.         10.         10.          4.34322034]
 [ 6.09110169  7.62711864 10.          8.05084746  5.77330508  2.64830508]
 [ 5.45550847  3.60169492 10.         10.          6.09110169  3.125     ]
 [ 1.53601695  2.59533898 10.         10.          9.74576271  6.1440678 ]
 [ 1.32415254  4.87288136  5.87923729  4.87288136  7.09745763  4.87288136]
 [ 1.05932203  3.28389831  1.80084746  4.29025424  6.51483051  5.34957627]
 [ 0.74152542  0.47669492  1.00635593  4.13135593  8.26271186  6.40889831]]"
80,"[[ 3.49514563  4.80582524  8.34951456  7.33009709  2.47572816  1.45631068]
 [10.         10.         10.         10.          4.32038835  2.08737864]
 [10.         10.         10.         10.         10.         10.        ]
 [ 5.58252427  6.31067961  8.30097087  9.80582524  7.81553398  7.76699029]
 [ 1.45631068  2.08737864  3.93203883  5.4368932   7.08737864  6.89320388]
 [ 0.82524272  2.42718447  2.81553398  5.58252427  5.53398058  5.58252427]
 [ 0.29126214 10.          1.7961165   3.34951456  4.32038835  3.73786408]
 [ 0.19417476 10.          1.31067961  2.08737864  4.61165049  1.26213592]
 [ 8.25242718  4.70873786  0.9223301   1.7961165   6.11650485  0.82524272]
 [ 1.45631068  0.29126214  0.63106796  4.0776699   5.09708738  0.        ]]"
81,"[[ 0.          0.          0.          0.53353659  4.15396341  3.01067073]
 [ 0.          0.          0.57164634  5.14481707  4.11585366  1.48628049]
 [ 0.          0.41920732  4.23018293  4.00152439  2.7820122   1.41006098]
 [ 0.19054878  3.01067073  3.16310976  2.59146341  2.89634146  3.50609756]
 [ 2.09603659  2.82012195  2.85823171  8.38414634  9.07012195  7.12652439]
 [ 3.20121951 10.         10.          4.99237805  1.44817073  2.7820122 ]
 [ 5.94512195 10.         10.          5.79268293  6.05945122  7.01219512]
 [ 9.64176829 10.         10.         10.          6.93597561  8.23170732]
 [ 6.32621951 10.          5.22103659  3.50609756  6.78353659  8.26981707]
 [ 4.45884146  6.66920732  2.24847561  1.18140244  2.89634146  3.23932927]]"
82,"[[ 0.          0.          0.          0.3271028   3.13084112  3.59813084]
 [ 0.          0.23364486  4.43925234  9.06542056  5.09345794  1.86915888]
 [ 1.21495327  7.42990654  9.95327103  7.80373832  4.57943925 10.        ]
 [ 3.64485981  2.19626168  4.95327103  7.61682243 10.         10.        ]
 [ 0.          0.23364486  1.30841121  3.87850467  6.63551402  7.75700935]
 [ 0.          0.04672897  0.18691589  1.07476636  3.59813084  6.02803738]
 [ 0.          0.          0.98130841  4.6728972   5.46728972  4.76635514]
 [ 0.14018692  1.26168224  3.78504673  6.40186916  6.21495327  6.21495327]
 [ 1.68224299  4.85981308  3.5046729   4.71962617  9.76635514 10.        ]
 [ 3.22429907  1.91588785  0.88785047  7.71028037 10.         10.        ]]"
83,"[[ 3.05343511  5.15267176  7.2519084   6.61577608  2.16284987  0.38167939]
 [ 3.18066158  6.61577608 10.         10.          8.90585242  1.52671756]
 [ 0.63613232  3.24427481 10.         10.         10.         10.        ]
 [ 0.25445293  5.47073791  5.97964377  9.16030534 10.         10.        ]
 [ 5.91603053 10.          6.48854962  5.47073791  4.96183206  7.37913486]
 [10.         10.         10.         10.         10.          8.71501272]
 [10.         10.         10.         10.         10.          2.79898219]
 [ 4.45292621  8.96946565 10.          8.77862595  2.16284987  2.09923664]
 [ 4.26208651  7.56997455  5.27989822  2.67175573  4.45292621  1.0178117 ]
 [ 2.67175573  2.03562341  1.59033079  5.72519084  4.96183206  0.        ]]"
84,"[[ 0.          0.          0.          0.          3.74396135 10.        ]
 [ 0.06038647  0.12077295  0.18115942  0.18115942  4.16666667 10.        ]
 [ 0.60386473  1.63043478  1.99275362  1.99275362  1.32850242  3.44202899]
 [ 0.84541063  2.9589372   5.61594203  5.25362319  3.14009662  6.09903382]
 [ 1.69082126  4.40821256  7.7294686  10.         10.         10.        ]
 [ 1.02657005  2.7173913   5.79710145 10.         10.          7.85024155]
 [ 3.44202899  4.71014493 10.         10.         10.          2.29468599]
 [ 7.12560386 10.         10.         10.         10.          4.83091787]
 [ 8.15217391 10.          9.72222222  9.84299517 10.          9.90338164]
 [ 6.09903382  4.7705314   2.17391304  5.73671498 10.         10.        ]]"
85,"[[ 0.60706402 10.         10.          3.80794702 10.          2.26269316]
 [ 0.          4.41501104  4.02869757  4.47019868 10.          6.01545254]
 [ 0.71743929  0.60706402  0.4415011   2.86975717 10.          8.11258278]
 [ 3.200883    3.97350993  0.82781457  0.82781457  2.7593819   3.97350993]
 [ 7.28476821 10.         10.          3.42163355  0.88300221  0.66225166]
 [ 8.22295806 10.         10.          5.68432671  1.82119205  0.55187638]
 [ 5.02207506 10.         10.          6.23620309  4.30463576  1.93156733]
 [ 4.74613687  7.50551876 10.          8.66445916  7.45033113  2.7593819 ]
 [ 5.35320088  8.94039735 10.         10.          9.93377483  2.92494481]
 [ 7.33995585 10.         10.         10.          5.18763797  1.26931567]]"
86,"[[ 0.26555387  0.3414264   3.86949924 10.         10.         10.        ]
 [ 3.07283763  5.53869499  6.676783    2.38998483  3.30045524  7.05614568]
 [ 3.49013657  0.98634294  0.26555387  3.07283763  5.08345979  1.44157815]
 [ 6.4491654   2.31411229  3.26251897  2.8831563   1.59332322  2.7693475 ]
 [ 8.53566009  4.13505311  2.54172989  2.42792109  5.42488619  1.28983308]
 [ 5.38694992  3.98330804  2.7693475   7.16995448  2.23823976  1.78300455]
 [ 3.83156297  5.15933232  6.94233687  4.55235205  1.85887709  7.09408194]
 [ 5.27314112  7.81487102  5.95599393  1.78300455  8.64946889  1.93474962]
 [ 7.16995448  8.45978756  8.45978756  9.4461305   1.70713202  0.        ]
 [ 3.75569044  5.42488619 10.          6.18361153  0.1138088   0.        ]]"
87,"[[ 0.          0.19280206  0.38560411  1.02827763  1.73521851  1.67095116]
 [ 0.44987147  1.73521851  3.27763496  3.66323907  3.79177378  4.04884319]
 [ 4.11311054  6.68380463  7.00514139  4.88431877  5.46272494  7.58354756]
 [10.          9.19023136  7.45501285  9.31876607  7.3907455   5.97686375]
 [ 5.26992288  5.26992288  4.94858612  6.55526992  5.01285347  8.03341902]
 [ 1.15681234  1.02827763  1.54241645  1.3496144   8.22622108  9.89717224]
 [ 0.70694087  1.02827763  1.3496144   8.54755784 10.         10.        ]
 [ 2.44215938  2.63496144 10.          9.83290488 10.         10.        ]
 [ 4.88431877 10.          8.99742931  4.24164524  5.14138817  5.52699229]
 [10.         10.         10.         10.          7.58354756  7.96915167]]"
88,"[[ 0.88401697  3.46534653  9.01697313 10.          8.02687412  3.28854314]
 [ 0.          0.          0.          0.14144272  2.61669024  0.53041018]
 [ 0.03536068  0.14144272  0.21216407  7.60254597  7.49646393  2.65205092]
 [ 0.17680339  0.6718529   9.15841584  9.2291372  10.          9.26449788]
 [ 0.17680339  7.81471004  6.75388967 10.         10.          9.86562942]
 [ 4.38472419  7.3903819  10.          6.47100424 10.          7.74398868]
 [ 3.14710042  1.73267327  2.05091938  3.1824611   4.84441301  3.96039604]
 [ 0.63649222  1.52050919  3.39462518  5.26874116  3.74823197  1.98019802]
 [ 0.88401697  2.97029703  7.49646393  8.98161245  5.09193777  0.99009901]
 [ 3.04101839  4.84441301  6.18811881  5.44554455  2.58132956  0.35360679]]"
89,"[[ 9.92125984 10.         10.          4.09448819  7.75590551  0.66929134]
 [ 3.7007874   3.66141732  1.14173228  7.00787402  1.88976378  0.59055118]
 [ 4.09448819  2.99212598  4.76377953  4.09448819  2.5984252   3.30708661]
 [ 9.64566929 10.          6.25984252  2.71653543  5.35433071  6.92913386]
 [ 9.48818898 10.          4.48818898  4.60629921  5.7480315   6.14173228]
 [10.         10.         10.          3.46456693  4.29133858  2.51968504]
 [ 4.13385827 10.          2.36220472  2.00787402  2.24409449  1.61417323]
 [ 2.51968504  2.99212598  8.77952756 10.         10.          6.06299213]
 [ 3.30708661  5.11811024  4.56692913  3.18897638  1.73228346  0.51181102]
 [ 2.48031496  4.40944882  3.07086614  1.18110236  0.27559055  0.        ]]"
90,"[[ 5.76086957  8.15217391  5.32608696  1.84782609  0.43478261  1.73913043]
 [ 4.61956522  2.82608696  1.73913043  7.60869565  9.23913043  4.89130435]
 [ 3.5326087  10.         10.          4.83695652  0.54347826  2.5       ]
 [ 6.73913043  6.0326087   5.2173913   2.44565217  2.66304348  4.67391304]
 [ 7.77173913  6.73913043  6.63043478  4.61956522  8.31521739  6.4673913 ]
 [ 5.81521739  6.90217391  5.86956522  8.64130435 10.         10.        ]
 [ 2.33695652  3.42391304  4.13043478  8.42391304 10.         10.        ]
 [ 0.70652174  1.63043478  3.91304348  6.35869565 10.          7.17391304]
 [ 0.32608696  1.0326087   0.92391304  2.22826087  4.45652174  5.54347826]
 [ 0.          0.          0.          0.48913043  5.          9.72826087]]"
91,"[[ 0.54530201  0.25167785  0.          1.13255034  3.8590604   6.37583893]
 [ 2.43288591  1.25838926  0.          1.9295302   8.13758389 10.        ]
 [ 5.53691275  3.02013423  0.04194631  0.83892617  3.56543624  5.2852349 ]
 [ 9.22818792  4.48825503  0.5033557   0.20973154  1.09060403  1.9295302 ]
 [ 8.22147651  6.66946309  2.01342282  2.51677852  6.20805369  6.79530201]
 [10.         10.          6.54362416  5.87248322 10.         10.        ]
 [10.         10.          7.63422819  3.14597315  4.3204698   5.32718121]
 [10.         10.          3.02013423  1.04865772  2.68456376  4.73993289]
 [ 6.62751678  5.41107383  1.88758389  1.30033557  2.81040268  1.4261745 ]
 [ 1.9295302   1.51006711  1.21644295  1.51006711  0.9647651   0.20973154]]"
92,"[[ 4.55801105  9.04696133 10.         10.         10.         10.        ]
 [ 6.00828729 10.         10.         10.         10.         10.        ]
 [ 3.52209945 10.         10.         10.         10.          1.58839779]
 [ 2.27900552  8.83977901 10.         10.          1.0359116   0.06906077]
 [ 1.0359116  10.         10.          0.27624309  0.55248619  0.48342541]
 [ 2.27900552  1.58839779  0.13812155  0.34530387  1.38121547  7.59668508]
 [ 0.          0.20718232  0.89779006  2.14088398  8.83977901  6.14640884]
 [ 0.20718232  0.82872928  1.65745856  8.56353591 10.          1.72651934]
 [ 0.69060773  5.80110497  6.90607735 10.          2.27900552  0.69060773]
 [ 4.48895028 10.         10.          2.27900552  1.72651934  0.34530387]]"
93,"[[ 0.35161744  4.32489451  4.07876231  1.82841069  0.63291139  0.03516174]
 [ 6.96202532  4.95780591  4.11392405  3.30520394  1.12517581  0.28129395]
 [ 2.67229255  2.10970464  3.76230661  3.93811533  2.14486639  0.66807314]
 [ 0.21097046  1.09001406  2.88326301  6.89170183  6.68073136  2.53164557]
 [ 0.10548523  0.49226442  2.03938115  6.43459916  6.92686357  3.16455696]
 [ 0.          0.07032349  0.94936709  2.6371308   4.74683544  5.66104079]
 [ 0.17580872  0.35161744  1.30098453  4.46554149  8.01687764  9.52883263]
 [ 2.03938115  5.94233474 10.         10.          7.73558368  9.66947961]
 [ 3.65682138 10.         10.          6.1533052  10.          5.20393812]
 [ 4.11392405  9.1068917   4.00843882  1.37130802 10.          1.58227848]]"
94,"[[ 0.          0.          0.          0.33167496  2.40464345  8.41625207]
 [ 0.          0.04145937  0.08291874  3.77280265  7.04809287  5.43117745]
 [ 0.04145937  0.45605307  7.33830846  8.45771144  4.64344942  6.88225539]
 [ 0.08291874  4.85074627 10.         10.         10.         10.        ]
 [ 0.53897181 10.          7.08955224 10.         10.          8.91376451]
 [ 6.01160862  4.68490879 10.         10.          6.21890547 10.        ]
 [ 4.72636816 10.         10.         10.          9.2039801  10.        ]
 [ 4.56053068  7.87728027  3.68988391  4.56053068  3.06799337  3.77280265]
 [ 1.7827529   0.45605307  0.87064677  0.4145937   0.08291874  0.20729685]
 [ 0.          0.33167496  0.12437811  0.          0.          0.        ]]"
95,"[[ 0.06830601  7.03551913  3.27868852  2.32240437  1.16120219  0.        ]
 [ 4.71311475 10.          4.16666667  9.15300546  4.23497268  1.8442623 ]
 [10.          7.71857923  9.01639344 10.         10.          1.09289617]
 [10.         10.         10.         10.         10.          3.27868852]
 [10.          7.5136612   6.21584699 10.         10.          8.33333333]
 [ 5.73770492  3.1420765   2.18579235  9.22131148 10.          7.37704918]
 [ 1.63934426  2.25409836  4.84972678 10.          8.81147541  5.12295082]
 [ 1.09289617  4.03005464 10.          7.85519126  5.12295082  6.28415301]
 [ 1.63934426 10.          8.26502732  7.37704918  4.64480874  5.25956284]
 [ 7.10382514  2.18579235 10.         10.          3.21038251  3.27868852]]"
96,"[[ 0.          0.24366472  1.75438596  3.60623782  2.2417154   2.48538012]
 [ 0.3411306   2.04678363  4.19103314  2.582846    2.04678363  3.84990253]
 [ 1.80311891  4.58089669  3.16764133  1.41325536  3.50877193  6.77387914]
 [ 3.60623782  3.0214425   2.33918129  5.06822612 10.         10.        ]
 [ 2.43664717  2.92397661  5.75048733 10.         10.          9.45419103]
 [ 1.02339181  2.43664717  8.52826511 10.         10.          9.84405458]
 [ 1.1208577   2.72904483 10.         10.          2.04678363  0.3411306 ]
 [ 6.04288499  6.48148148  5.01949318 10.          0.92592593  0.04873294]
 [ 7.11500975  6.53021442  8.08966862 10.          2.19298246  0.04873294]
 [ 1.4619883   2.2417154   8.57699805 10.          2.29044834  0.        ]]"
97,"[[ 0.          1.31578947  2.69736842  2.17105263  3.75        0.78947368]
 [ 2.5         7.36842105  8.55263158 10.         10.          6.84210526]
 [ 5.32894737 10.         10.         10.         10.         10.        ]
 [ 7.03947368 10.         10.         10.         10.          2.03947368]
 [ 4.60526316  9.93421053 10.         10.          4.67105263  0.52631579]
 [ 0.26315789  1.25        3.22368421  5.46052632  8.09210526  8.35526316]
 [ 1.18421053  5.06578947 10.          9.60526316  6.90789474  5.52631579]
 [ 1.97368421  4.40789474  4.73684211  2.89473684  9.53947368 10.        ]
 [ 0.39473684  4.53947368  6.44736842 10.         10.          4.73684211]
 [ 1.05263158  4.73684211 10.         10.          8.61842105  3.15789474]]"
98,"[[ 0.          0.0533049   0.69296375  4.37100213 10.         10.        ]
 [ 0.          0.          0.31982942  0.95948827  2.6119403   4.26439232]
 [ 0.          0.10660981  0.31982942  1.22601279  1.81236674  3.57142857]
 [ 0.          0.15991471  0.58635394  0.74626866  2.29211087  2.77185501]
 [ 0.          0.0533049   0.37313433  1.91897655  4.05117271  4.15778252]
 [ 0.10660981  0.42643923  1.91897655  5.65031983  4.79744136  2.87846482]
 [ 3.19829424  9.06183369  5.38379531  6.07675906  2.6652452   1.86567164]
 [ 7.8358209  10.         10.          3.14498934  2.02558635  5.49040512]
 [ 6.50319829 10.          8.79530917 10.          9.96801706 10.        ]
 [10.         10.         10.         10.         10.         10.        ]]"
99,"[[ 1.09170306  2.34716157  4.36681223  6.05895197  4.36681223 10.        ]
 [ 2.23799127  5.02183406  9.49781659  9.49781659 10.         10.        ]
 [ 3.930131    7.96943231 10.          8.13318777 10.         10.        ]
 [ 4.63973799  9.33406114 10.          6.98689956 10.         10.        ]
 [ 4.63973799 10.          8.84279476  8.46069869 10.         10.        ]
 [ 4.96724891 10.          2.40174672 10.          1.91048035  6.65938865]
 [ 4.36681223  6.98689956  1.41921397  6.22270742  0.10917031  1.0371179 ]
 [ 6.22270742  1.31004367  1.58296943  0.05458515  0.          0.        ]
 [10.         10.          8.569869    4.91266376  1.25545852  0.43668122]
 [ 4.31222707  3.05676856  1.8558952   1.36462882  0.43668122  0.05458515]]"
100,"[[ 0.18427518  1.65847666  6.51105651  7.37100737 10.          8.29238329]
 [ 0.30712531  6.14250614 10.         10.         10.          9.02948403]
 [ 0.42997543  4.42260442 10.          8.90663391 10.          9.76658477]
 [ 0.18427518  0.61425061  1.9041769   3.00982801 10.          9.33660934]
 [ 0.          0.          0.18427518  3.5012285  10.          9.58230958]
 [ 0.06142506  1.47420147  3.74692875  5.52825553 10.          3.07125307]
 [ 7.24815725 10.          5.22113022  7.8009828   6.38820639  0.42997543]
 [10.          6.57248157 10.          5.34398034  3.99262899  0.        ]
 [ 5.22113022 10.          5.71253071  4.85257985 10.          0.18427518]
 [ 8.5995086  10.          1.53562654  5.46683047 10.          0.12285012]]"
101,"[[ 1.20274914  3.47938144  8.41924399  8.46219931  4.72508591  1.37457045]
 [ 3.95189003  8.7628866  10.         10.          5.24054983  1.93298969]
 [ 9.45017182 10.          5.58419244  3.26460481  2.53436426  4.76804124]
 [ 8.80584192 10.          1.63230241  1.63230241  9.70790378  3.95189003]
 [ 5.88487973 10.          1.97594502  7.3024055  10.          0.55841924]
 [ 2.9209622   3.78006873  3.60824742 10.          1.58934708  0.        ]
 [10.          9.19243986  3.60824742  6.09965636  0.68728522  0.73024055]
 [10.         10.          5.24054983  3.00687285  2.53436426  2.31958763]
 [ 9.49312715  6.82989691  2.66323024  4.12371134  5.15463918  5.41237113]
 [ 2.14776632  1.28865979  1.15979381  3.65120275  4.08075601  5.11168385]]"
102,"[[ 0.21459227  2.86123033  3.61230329  2.86123033  1.68097282  0.1788269 ]
 [ 1.64520744  4.89985694  3.39771102  9.87124464  5.86552217  0.60801144]
 [ 3.68383405  3.86266094  2.32474964  7.01001431  4.61373391  1.89556509]
 [ 4.54220315  3.32618026  3.71959943  5.11444921  3.18311874  2.50357654]
 [ 3.64806867  5.36480687  6.40200286  6.68812589  4.86409156  4.1130186 ]
 [ 3.43347639  6.72389127 10.          9.54935622  8.9055794   2.11015737]
 [ 3.82689557 10.         10.          7.3676681  10.          4.25608011]
 [ 2.43204578  4.14878398  2.25321888  5.93705293 10.          3.32618026]
 [ 0.21459227  0.39341917  5.8297568   7.68955651 10.         10.        ]
 [ 0.          0.8583691   3.32618026  0.03576538  5.72246066  0.03576538]]"
103,"[[ 4.37956204 10.          3.22384428  0.          0.243309    2.31143552]
 [ 5.10948905 10.          3.16301703  0.06082725  0.54744526  5.71776156]
 [ 2.12895377  6.02189781  1.45985401  0.18248175  1.82481752  7.66423358]
 [ 0.54744526  2.00729927  0.30413625  1.03406326  3.71046229  9.00243309]
 [ 0.54744526  2.06812652  3.52798054  4.37956204  6.69099757  9.48905109]
 [ 2.31143552 10.         10.         10.          9.48905109 10.        ]
 [ 1.15571776  4.5620438  10.         10.         10.         10.        ]
 [ 1.39902676  2.06812652  7.84671533 10.         10.         10.        ]
 [ 6.26520681  9.7323601  10.         10.         10.         10.        ]
 [10.         10.         10.          8.27250608 10.          0.85158151]]"
104,"[[ 0.29510961  1.47554806  1.55986509  4.00505902  1.98145025  1.98145025]
 [ 1.98145025  2.78246206  1.93929174  4.84822934  1.26475548  5.48060708]
 [ 4.04721754  4.51096121  3.11973019 10.         10.         10.        ]
 [ 8.05227656  6.8296796   8.13659359 10.          5.22765599  7.33558179]
 [ 5.14333895  5.18549747  6.53456998  5.01686341  0.29510961  5.69139966]
 [ 2.27655987  1.81281619  4.34232715  1.51770658  0.88532884  6.70320405]
 [ 0.2529511   0.42158516  4.59527825  0.54806071  3.45699831 10.        ]
 [ 0.04215852  0.08431703  2.40303541  6.23946037 10.         10.        ]
 [ 0.04215852  0.12647555  4.80607083 10.          5.05902192 10.        ]
 [ 0.          1.26475548  6.74536256  1.8549747   3.75210793 10.        ]]"
105,"[[ 3.17955112  5.61097257  5.92269327  8.97755611  5.42394015  2.30673317]
 [10.         10.         10.          6.04738155  4.48877805  3.74064838]
 [10.         10.          5.42394015  1.24688279  1.68329177  9.10224439]
 [ 5.48628429 10.          1.30922693  0.6234414   2.80548628 10.        ]
 [10.          2.61845387  1.55860349  1.49625935  7.04488778 10.        ]
 [ 6.54613466  5.36159601  2.93017456  4.36408978 10.         10.        ]
 [ 5.79800499  8.29177057  7.60598504  8.04239401 10.          6.98254364]
 [10.         10.         10.         10.          7.79301746  3.42892768]
 [10.         10.         10.          8.04239401  2.80548628  1.30922693]
 [ 5.42394015  9.10224439  8.35411471  2.43142145  0.6234414   0.        ]]"
106,"[[ 3.14039409 10.         10.          6.89655172  2.33990148 10.        ]
 [10.         10.          8.06650246  6.40394089  2.52463054 10.        ]
 [10.         10.          3.9408867   3.75615764  1.47783251  8.92857143]
 [ 5.17241379  4.6182266   2.09359606  8.43596059 10.          8.18965517]
 [ 0.98522167  1.78571429  3.44827586 10.         10.         10.        ]
 [ 0.          0.36945813  3.63300493  7.82019704  6.77339901 10.        ]
 [ 0.06157635  1.47783251  7.69704433  2.52463054  3.20197044  9.29802956]
 [ 1.10837438 10.          0.6773399   1.16995074  1.908867    2.40147783]
 [10.         10.         10.         10.         10.          5.04926108]
 [ 8.37438424  5.2955665   2.40147783  0.43103448  0.12315271  0.12315271]]"
107,"[[ 0.          0.          0.77319588  1.71821306  0.          0.        ]
 [ 0.          0.51546392  4.46735395  0.          0.          0.        ]
 [ 0.          9.79381443  2.62027491  0.          0.          0.        ]
 [ 3.13573883 10.          2.79209622  0.          0.          0.04295533]
 [ 8.50515464 10.          2.9209622   0.94501718  0.90206186  0.17182131]
 [ 0.55841924  6.95876289  7.98969072 10.          6.44329897  1.15979381]
 [ 7.98969072 10.         10.          9.70790378  4.42439863  2.40549828]
 [ 4.5532646   6.70103093 10.          4.29553265  1.67525773  2.9209622 ]
 [ 7.68900344 10.         10.          5.32646048  2.36254296  3.04982818]
 [10.         10.          7.73195876  3.69415808  3.82302405  3.65120275]]"
108,"[[ 0.          0.          1.04790419  3.24351297  7.83433134  3.64271457]
 [ 0.1497006   0.          1.79640719  4.89021956 10.         10.        ]
 [ 0.1497006   0.4491018   2.34530938  4.59081836 10.          2.84431138]
 [ 0.4491018   1.84630739  6.63672655  7.93413174  0.84830339  0.5988024 ]
 [ 2.09580838  6.68662675 10.          1.94610778  0.64870259  0.249501  ]
 [ 5.73852295  8.18363273 10.          3.84231537  0.84830339  0.94810379]
 [ 4.04191617  9.48103792 10.          4.19161677  4.49101796  3.74251497]
 [ 8.93213573 10.         10.         10.          9.38123752  7.28542914]
 [ 9.48103792 10.          6.78642715 10.         10.         10.        ]
 [ 1.69660679  8.73253493  6.73652695 10.         10.         10.        ]]"
109,"[[ 1.60493827  6.17283951 10.         10.         10.          7.5308642 ]
 [ 4.01234568  7.22222222 10.         10.         10.          8.45679012]
 [ 7.16049383  6.60493827 10.          9.19753086  6.97530864  4.50617284]
 [10.         10.          8.27160494  7.71604938  3.33333333  1.60493827]
 [10.         10.         10.          5.24691358  0.98765432  0.18518519]
 [ 5.74074074  8.08641975  8.7037037   1.72839506  0.49382716  0.0617284 ]
 [ 2.03703704  7.5308642   3.39506173  2.03703704  0.49382716  0.        ]
 [ 4.01234568  6.41975309  0.61728395  4.25925926  0.92592593  0.        ]
 [ 7.65432099  3.27160494  1.48148148 10.          1.97530864  0.12345679]
 [ 4.32098765  4.87654321  4.87654321 10.          1.85185185  0.74074074]]"
