,Shading Maps
10,"[[ 0.          0.25773196  1.11683849  4.89690722 10.          5.67010309]
 [ 0.42955326  2.31958763  5.32646048 10.         10.          2.23367698]
 [ 4.12371134  7.4742268  10.         10.          2.49140893  6.35738832]
 [10.          9.36426117 10.          5.15463918  5.92783505 10.        ]
 [10.         10.          9.53608247  3.69415808 10.         10.        ]
 [10.         10.          8.7628866   8.07560137  6.44329897  2.31958763]
 [10.         10.          2.9209622   0.25773196  3.00687285  2.31958763]
 [ 4.20962199  3.26460481  0.94501718  1.89003436  7.81786942  0.77319588]
 [ 1.63230241  2.06185567  1.11683849  9.96563574  6.87285223  5.32646048]
 [10.         10.         10.         10.          9.96563574  9.36426117]]"
11,"[[ 0.          0.          2.67295597 10.          2.56813417  4.19287212]
 [ 0.          0.          3.14465409 10.          4.76939203  7.49475891]
 [ 0.          0.0524109   2.09643606 10.          7.44234801  9.38155136]
 [ 0.1048218   0.1048218   9.53878407 10.         10.          8.64779874]
 [ 1.36268344  5.66037736 10.         10.          5.81761006  1.25786164]
 [ 2.51572327  5.29350105 10.         10.          4.24528302  0.89098532]
 [ 3.14465409  9.22431866 10.         10.          9.74842767  8.33333333]
 [10.         10.         10.         10.          5.34591195  1.83438155]
 [ 3.03983229  8.59538784  5.39832285  2.83018868  0.57651992  0.        ]
 [ 2.35849057  2.72536688  1.41509434  0.41928721  0.1048218   0.        ]]"
12,"[[ 7.12328767  8.08219178  8.49315068  6.23287671  2.80821918  1.30136986]
 [10.         10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.         10.        ]
 [ 9.38356164 10.          2.67123288  1.50684932  4.65753425 10.        ]
 [ 7.60273973  4.5890411   2.12328767  0.54794521  1.36986301  2.87671233]
 [ 7.12328767  4.79452055  3.42465753  3.08219178  1.09589041  4.45205479]
 [ 4.93150685  4.17808219  5.68493151  5.          3.15068493 10.        ]
 [ 2.39726027  4.38356164  5.47945205  4.45205479 10.          4.24657534]
 [ 1.30136986  2.19178082  2.94520548  7.12328767  3.56164384  6.16438356]
 [ 0.          0.95890411  3.15068493  3.01369863  1.91780822 10.        ]]"
13,"[[ 0.          1.41083521  8.12641084  0.          0.          0.        ]
 [ 0.         10.          0.33860045  0.          0.          0.        ]
 [ 7.73137698  4.90970655  0.          0.          0.          3.55530474]
 [ 7.84424379  0.16930023  0.11286682  0.05643341  1.01580135 10.        ]
 [ 0.56433409  0.95936795  1.01580135  0.50790068  5.64334086  8.74717833]
 [ 1.18510158  2.53950339  2.93453725  2.59593679 10.          3.9503386 ]
 [ 1.69300226  3.66817156  4.17607223 10.         10.          2.31376975]
 [ 2.31376975  4.11963883  6.5462754  10.         10.         10.        ]
 [ 4.79683973  7.61851016  9.70654628  6.5462754   9.48081264 10.        ]
 [ 7.56207675 10.          8.63431151  4.45823928  6.5462754  10.        ]]"
14,"[[ 0.          0.66718995  1.84458399  1.80533752  4.78806907 10.        ]
 [ 0.54945055  3.13971743  7.49607535  8.94819466 10.         10.        ]
 [ 0.35321821  2.04081633  5.18053375  7.22135008 10.          6.16169545]
 [ 0.19623234  3.21821036  7.69230769 10.         10.          6.98587127]
 [ 0.58869702  4.43485086 10.         10.          8.98744113  2.86499215]
 [ 0.94191523  7.57456829 10.          7.69230769  3.2967033   1.25588697]
 [ 0.90266876  4.74882261  6.16169545  2.3155416   1.49136578  1.2166405 ]
 [ 0.35321821  2.94348509  2.74725275  1.29513344  3.17896389  5.57299843]
 [ 1.29513344  4.08163265  4.23861852  5.29827316  6.16169545  5.92621664]
 [ 0.58869702  1.49136578  0.66718995  0.70643642  1.2166405   0.31397174]]"
15,"[[ 0.          0.          0.          0.76155462  6.61764706  4.12289916]
 [ 0.          0.          0.          5.85609244 10.         10.        ]
 [ 0.          0.          2.86239496  6.38130252 10.          6.19747899]
 [ 0.          1.41806723  4.91071429  2.59978992 10.          6.30252101]
 [ 0.55147059  3.17752101  2.10084034  1.2605042   5.59348739  8.53466387]
 [ 1.62815126  2.41596639  1.2342437   1.73319328  3.04621849  9.87394958]
 [ 1.02415966  0.91911765  1.73319328  3.30882353  2.10084034  7.85189076]
 [ 0.73529412  0.76155462  2.15336134  4.83193277  1.62815126  3.33508403]
 [ 0.10504202  0.23634454  1.57563025  4.46428571  1.62815126  1.07668067]
 [ 0.          0.          0.97163866  2.96743697  1.47058824  1.94327731]]"
16,"[[10.         10.         10.          3.8897281   8.91238671  0.26435045]
 [ 5.55135952 10.          5.43806647 10.          3.43655589  2.83232628]
 [ 0.64199396  2.15256798 10.         10.         10.          6.00453172]
 [ 0.67975831  3.66314199  5.89123867  5.58912387  3.02114804  1.39728097]
 [ 0.49093656  1.69939577  2.83232628  4.07854985  2.56797583  0.56646526]
 [ 0.18882175  1.62386707  3.51208459  3.28549849  2.30362538  1.28398792]
 [ 0.18882175  0.98187311  1.92598187  2.41691843  3.02114804  2.56797583]
 [ 0.          0.49093656  1.69939577  4.72054381  6.45770393  1.39728097]
 [ 1.54833837  3.73867069  8.34592145 10.          4.72054381  1.77492447]
 [ 3.47432024  7.55287009 10.         10.          4.98489426  3.09667674]]"
17,"[[ 0.          0.07836991  0.27429467  0.97962382  1.76332288  2.86050157]
 [ 0.          0.11755486  1.17554859  5.40752351  9.169279    8.5815047 ]
 [ 0.31347962  1.21473354  4.11442006 10.         10.          7.87617555]
 [ 1.68495298  4.97648903 10.         10.         10.          4.81974922]
 [ 3.44827586 10.         10.         10.          7.99373041  6.81818182]
 [ 5.40752351  5.76018809  4.38871473  2.74294671  4.03605016  3.01724138]
 [ 3.17398119  2.6645768   1.44984326  2.15517241  1.68495298  0.78369906]
 [ 2.19435737  1.17554859  0.94043887  0.94043887  2.89968652  8.38557994]
 [ 1.01880878  0.62695925  0.35266458  1.01880878  1.60658307  2.03761755]
 [ 0.39184953  0.15673981  1.05799373  2.19435737  3.48746082  2.27272727]]"
18,"[[ 0.44052863  0.33039648  1.3215859   3.13876652  6.55286344  8.70044053]
 [ 2.53303965  2.47797357  2.64317181  7.32378855 10.         10.        ]
 [ 7.04845815  5.39647577  4.29515419 10.         10.          1.26651982]
 [ 8.20484581  9.36123348 10.         10.          6.05726872  3.57929515]
 [ 8.09471366 10.         10.         10.         10.          6.88325991]
 [ 8.31497797  9.63656388 10.         10.         10.          5.56167401]
 [ 1.98237885  3.30396476  6.66299559  6.33259912  5.12114537  2.36784141]
 [ 0.          0.55066079  1.65198238  2.53303965  2.58810573  0.71585903]
 [10.          7.15859031  1.26651982  3.68942731  3.30396476  1.21145374]
 [10.          6.00220264  2.47797357  4.24008811  2.9185022   0.55066079]]"
19,"[[ 1.51367188  1.46484375  1.171875    0.5859375   7.86132812  7.08007812]
 [ 4.83398438  6.39648438  9.91210938 10.          7.51953125  8.64257812]
 [ 7.86132812  9.42382812  8.3984375   6.54296875  3.515625    0.83007812]
 [ 9.32617188  7.71484375  4.44335938  3.02734375  3.17382812  1.26953125]
 [ 6.39648438  8.49609375  6.29882812  3.85742188  1.3671875   0.43945312]
 [ 5.81054688  4.44335938  1.41601562  0.29296875  2.39257812  8.10546875]
 [ 0.29296875  0.24414062  3.95507812  9.32617188 10.          6.15234375]
 [ 1.12304688  3.3203125   4.83398438  5.22460938  6.73828125  3.85742188]
 [ 0.          0.78125     3.36914062  9.47265625  9.61914062  5.2734375 ]
 [ 1.953125    9.91210938 10.         10.         10.          3.02734375]]"
