,Shading Maps
10,"[[ 6.4556962  10.         10.         10.         10.          6.26582278]
 [10.         10.          5.82278481 10.         10.          2.97468354]
 [ 2.65822785  2.08860759  9.43037975 10.         10.          2.46835443]
 [ 0.56962025  2.15189873 10.         10.          6.13924051  6.01265823]
 [ 0.3164557   6.07594937 10.          8.86075949  6.4556962  10.        ]
 [ 2.46835443  6.07594937 10.          9.43037975 10.          4.87341772]
 [ 1.96202532  7.72151899 10.         10.         10.         10.        ]
 [ 5.18987342 10.         10.         10.         10.          0.06329114]
 [ 5.50632911  3.10126582  1.39240506  0.12658228  0.          0.        ]
 [ 1.20253165  1.01265823  0.          0.          0.          0.        ]]"
11,"[[ 0.          0.          2.21445221  9.14918415 10.         10.        ]
 [ 0.          1.98135198 10.         10.         10.         10.        ]
 [ 1.92307692 10.          9.55710956 10.         10.         10.        ]
 [ 9.14918415  2.44755245  4.95337995 10.          9.26573427 10.        ]
 [ 0.75757576  1.22377622  2.91375291  5.82750583  2.44755245  5.06993007]
 [ 0.29137529  0.34965035  0.81585082  1.16550117  0.99067599  1.98135198]
 [ 0.11655012  0.29137529  0.29137529  0.17482517  3.14685315  0.46620047]
 [ 0.17482517  0.05827506  0.40792541  6.17715618  0.75757576  4.13752914]
 [ 0.          0.64102564  7.34265734  0.23310023  2.56410256  9.4988345 ]
 [ 1.51515152  7.80885781  0.05827506  0.11655012 10.          6.58508159]]"
12,"[[ 0.10245902  9.57991803  8.45286885  3.79098361  3.02254098  4.3545082 ]
 [ 0.46106557 10.         10.          7.4795082   6.71106557  8.35040984]
 [ 0.6147541  10.         10.          8.55532787  9.22131148 10.        ]
 [ 0.20491803  6.76229508  8.45286885  9.47745902  9.06762295 10.        ]
 [ 1.63934426  4.25204918  9.01639344 10.         10.         10.        ]
 [ 3.84221311  8.50409836 10.         10.         10.         10.        ]
 [ 2.15163934  5.58401639  9.88729508 10.          9.63114754  7.37704918]
 [ 0.10245902  2.30532787  4.55942623 10.          9.06762295  7.99180328]
 [ 0.10245902  0.66598361  1.58811475  4.09836066  4.30327869  6.04508197]
 [ 0.          0.10245902  0.15368852  0.56352459  2.30532787  6.71106557]]"
13,"[[ 1.90166976  1.11317254  0.          0.04638219  0.          1.39146568]
 [ 6.30797774  3.61781076  0.          0.04638219  0.18552876  5.89053803]
 [10.          4.7309833   0.04638219  0.27829314  0.78849722 10.        ]
 [ 8.07050093  3.75695733  0.60296846  1.11317254  1.43784787 10.        ]
 [ 3.20037106  2.73654917  1.2987013   3.10760668  3.61781076  8.76623377]
 [ 1.62337662  2.64378479  4.12801484  5.24118738  6.67903525  6.58627087]
 [ 1.53061224  6.0296846   5.75139147  8.39517625  8.2096475   6.63265306]
 [ 3.84972171 10.          8.44155844  7.05009276  7.65306122  5.24118738]
 [10.         10.         10.         10.          7.51391466  4.59183673]
 [ 5.6122449  10.         10.         10.         10.          5.28756957]]"
14,"[[ 0.32637076  6.26631854  8.22454308  1.56657963  3.65535248 10.        ]
 [ 8.35509138 10.          3.00261097  2.154047    8.15926893 10.        ]
 [ 8.68146214  1.82767624  1.24020888  5.54830287  8.74673629 10.        ]
 [ 0.32637076  0.97911227  4.04699739  6.65796345  7.89817232 10.        ]
 [ 0.71801567  3.19843342  7.63707572  9.20365535 10.         10.        ]
 [ 2.67624021  5.41775457 10.         10.         10.         10.        ]
 [ 6.07049608  8.8772846  10.         10.         10.          5.74412533]
 [ 7.37597911 10.         10.         10.          4.5691906   1.69712794]
 [10.         10.          4.63446475  3.98172324  1.10966057  0.39164491]
 [ 6.20104439  1.37075718  2.154047    0.65274151  0.32637076  0.        ]]"
15,"[[ 0.          0.          3.52733686  0.13227513  0.92592593  4.62962963]
 [ 0.          3.52733686  2.4691358   1.6313933   7.71604938 10.        ]
 [ 0.          9.08289242  0.48500882  1.85185185  2.55731922  2.51322751]
 [ 0.04409171  9.92063492  1.2345679   2.24867725  4.98236332  3.35097002]
 [ 3.92416226  5.02645503  3.52733686  9.30335097  9.08289242  2.68959436]
 [ 7.53968254  5.68783069  8.24514991 10.          5.20282187  5.55555556]
 [ 5.11463845  7.67195767 10.         10.          9.34744268  5.11463845]
 [ 2.73368607  8.11287478  4.36507937  4.05643739  5.86419753  6.1287478 ]
 [ 4.05643739  3.39506173  3.57142857  7.98059965  8.50970018  3.79188713]
 [ 1.71957672  3.21869489  6.39329806  7.58377425  2.64550265  5.77601411]]"
16,"[[ 0.          0.10288066 10.         10.          0.20576132  0.        ]
 [ 3.24074074 10.         10.          3.24074074  0.          0.        ]
 [ 9.56790123  4.88683128  7.09876543  0.          0.05144033  0.05144033]
 [ 2.4691358   5.91563786  0.72016461  0.05144033  1.18312757  1.44032922]
 [ 2.4691358   1.2345679   0.15432099  6.58436214  9.1563786   7.81893004]
 [ 1.54320988  2.77777778 10.         10.         10.          2.36625514]
 [ 7.25308642 10.         10.          5.04115226  1.38888889  0.92592593]
 [10.          8.02469136  4.5781893   2.05761317  0.97736626  0.15432099]
 [ 6.17283951  4.47530864  1.90329218  0.72016461  0.3600823   2.88065844]
 [ 3.44650206  2.62345679  6.58436214  9.36213992 10.          9.72222222]]"
17,"[[ 0.          0.          0.0547046   9.0809628   9.57330416  0.65645514]
 [ 0.          1.36761488 10.          4.70459519  2.02407002  1.20350109]
 [ 1.64113786  5.08752735  4.37636761  6.01750547  0.82056893  1.75054705]
 [ 1.58643326 10.          5.30634573  0.71115974  5.6892779   3.33698031]
 [ 8.86214442  0.          1.1487965   9.90153173  8.47921225  1.47702407]
 [ 0.          0.27352298  5.6345733   7.71334792  1.20350109  0.60175055]
 [ 0.0547046   0.65645514  3.11816193  0.65645514  0.71115974  8.97155361]
 [ 0.27352298  0.32822757  0.16411379  1.25820569 10.         10.        ]
 [ 0.0547046   0.          1.20350109  9.46389497 10.         10.        ]
 [ 0.          1.42231947  8.53391685 10.         10.         10.        ]]"
18,"[[ 1.2195122   2.87456446  4.87804878  5.83623693  8.71080139  7.97038328]
 [ 2.56968641  5.74912892  8.18815331 10.         10.         10.        ]
 [ 2.87456446  6.05400697  9.45121951 10.         10.         10.        ]
 [ 0.91463415  2.5261324   7.05574913 10.         10.         10.        ]
 [ 0.13066202  0.56620209  3.04878049 10.         10.          4.83449477]
 [ 0.          0.6533101   1.82926829  4.00696864  4.52961672  2.26480836]
 [ 1.13240418  1.00174216  1.04529617  1.8728223   2.22125436  2.26480836]
 [ 4.44250871  4.3554007   1.95993031  2.04703833  2.96167247  4.48606272]
 [ 6.83797909  6.228223    1.39372822  0.17421603  2.17770035  4.44250871]
 [ 3.17944251  3.52787456  0.69686411  0.13066202  0.78397213  1.56794425]]"
19,"[[ 5.72916667  5.90277778  7.07465278  3.34201389  0.13020833  0.        ]
 [ 8.15972222  7.94270833  8.72395833  3.77604167  0.34722222  0.21701389]
 [ 8.24652778  8.50694444  7.16145833  5.12152778  4.21006944  1.34548611]
 [ 4.6875      5.55555556  4.21006944 10.         10.          6.81423611]
 [ 1.34548611  2.17013889  2.90798611  5.59895833  9.63541667  7.16145833]
 [ 1.38888889  2.734375    3.42881944  4.47048611  4.94791667  6.46701389]
 [ 1.953125    4.55729167  4.94791667  3.73263889  3.08159722  2.47395833]
 [ 2.25694444  4.296875    5.55555556  6.72743056  4.86111111  1.99652778]
 [ 2.95138889  8.11631944  7.07465278 10.         10.          4.296875  ]
 [ 7.76909722 10.         10.          2.38715278  1.5625      0.43402778]]"
