,Shading Maps
30,"[[ 0.12842466  0.51369863  1.88356164  2.82534247  3.55308219  2.2260274 ]
 [ 0.34246575  0.72773973  3.3390411   5.26541096  8.4760274   8.2619863 ]
 [ 1.32705479  1.49828767  2.05479452  3.51027397  9.88869863 10.        ]
 [ 4.83732877  4.53767123  4.58047945  6.84931507  7.53424658  3.85273973]
 [ 9.11815068 10.         10.         10.         10.          9.375     ]
 [10.         10.         10.         10.          8.69006849  6.76369863]
 [ 5.86472603  9.33219178 10.         10.          7.32020548  3.72431507]
 [ 3.03938356  5.17979452 10.          8.39041096  5.05136986  1.15582192]
 [ 0.85616438  2.35445205  5.65068493  4.92294521  2.39726027  0.51369863]
 [ 0.2140411   0.51369863  2.0119863   1.41267123  0.68493151  0.        ]]"
31,"[[ 0.          0.          1.47601476  0.8302583   5.44280443  2.95202952]
 [ 0.          0.73800738  2.39852399  4.79704797 10.          7.47232472]
 [ 0.55350554  4.61254613  4.98154982 10.         10.          6.91881919]
 [ 2.76752768  9.4095941   7.56457565 10.          9.96309963  6.82656827]
 [ 7.74907749  9.96309963 10.         10.          5.62730627 10.        ]
 [10.          4.42804428 10.         10.         10.         10.        ]
 [ 7.93357934 10.         10.         10.         10.         10.        ]
 [ 8.02583026  3.78228782  4.79704797 10.         10.         10.        ]
 [ 3.13653137 10.         10.         10.         10.         10.        ]
 [10.          7.10332103  4.79704797  7.01107011  3.59778598 10.        ]]"
32,"[[ 0.          0.09784736  1.27201566  1.12524462  1.66340509  3.37573386]
 [ 0.          1.8590998   3.32681018  1.90802348 10.          8.85518591]
 [ 0.19569472  7.58317025  9.68688845 10.          7.19178082  7.14285714]
 [ 8.65949119 10.         10.         10.         10.          7.77886497]
 [ 9.83365949  2.93542074  1.27201566 10.          9.05088063  4.06066536]
 [ 5.47945205  0.78277886  5.62622309 10.          5.77299413  3.66927593]
 [ 0.88062622  1.41878669  7.38747554  7.2407045   3.22896282  2.83757339]
 [ 0.2446184   1.32093933  8.85518591  2.34833659  1.81017613  1.32093933]
 [ 0.04892368  3.37573386  4.69667319  0.78277886  0.9295499   1.36986301]
 [ 0.09784736  3.57142857  1.27201566  2.00587084 10.         10.        ]]"
33,"[[ 0.31818182  3.63636364  0.36363636  3.59090909  4.54545455  0.81818182]
 [ 3.31818182  4.63636364  1.95454545  5.5         2.63636364  1.27272727]
 [ 9.72727273  2.04545455  3.45454545  4.63636364  2.90909091  3.72727273]
 [10.          1.90909091  5.13636364  5.36363636  8.13636364  3.72727273]
 [ 7.72727273  4.04545455 10.         10.          5.45454545 10.        ]
 [10.         10.         10.          6.27272727  6.72727273  1.27272727]
 [10.          6.59090909  4.72727273  2.72727273  0.09090909  7.54545455]
 [ 5.5         2.77272727  0.59090909  0.09090909  5.59090909  5.81818182]
 [ 2.04545455  0.22727273  0.22727273  2.04545455  5.90909091  2.59090909]
 [ 0.22727273  0.          0.90909091  4.54545455  2.27272727  2.45454545]]"
34,"[[ 0.          0.65972222  2.53472222  3.68055556  1.63194444  0.10416667]
 [ 0.52083333  2.15277778  5.13888889  8.64583333  3.15972222  0.41666667]
 [ 1.04166667  4.27083333  7.5        10.          4.47916667  0.34722222]
 [ 0.90277778  3.02083333 10.         10.          3.64583333  0.10416667]
 [ 0.52083333  3.19444444 10.          8.09027778  2.77777778  0.13888889]
 [ 1.18055556  8.75       10.          6.35416667  1.97916667  0.41666667]
 [ 2.70833333  7.15277778 10.          4.86111111  4.13194444  3.88888889]
 [ 4.89583333  5.17361111  3.64583333  1.90972222  3.29861111  5.        ]
 [ 9.65277778  9.13194444  2.39583333  0.76388889  0.83333333  1.73611111]
 [ 8.22916667  5.48611111  2.15277778  0.59027778  1.77083333  3.22916667]]"
35,"[[ 1.94174757  8.09061489  2.66990291  0.          2.42718447 10.        ]
 [ 6.55339806  2.99352751  1.21359223  2.83171521  8.09061489 10.        ]
 [ 4.44983819  2.34627832  4.04530744  7.52427184 10.          9.30420712]
 [ 0.97087379  3.4789644   8.33333333  8.49514563  9.14239482  3.55987055]
 [ 0.48543689  4.20711974  9.14239482 10.          5.42071197 10.        ]
 [ 0.40453074  9.95145631 10.          4.36893204 10.          3.15533981]
 [10.         10.          3.4789644  10.          0.72815534  1.61812298]
 [ 4.12621359  2.42718447 10.          5.33980583  5.74433657 10.        ]
 [ 1.05177994 10.         10.          8.09061489  7.92880259 10.        ]
 [ 7.84789644 10.          4.69255663  5.98705502 10.         10.        ]]"
36,"[[ 0.          0.          0.          0.13774105  0.34435262  0.06887052]
 [ 0.          0.          0.27548209  0.8953168   0.41322314  0.20661157]
 [ 0.          0.34435262  1.72176309  2.96143251  1.23966942  1.79063361]
 [ 0.20661157  2.75482094  7.43801653  7.02479339  6.54269972  7.6446281 ]
 [ 1.99724518 10.         10.          7.92011019 10.          9.57300275]
 [ 5.99173554 10.          8.815427    5.44077135 10.          7.43801653]
 [ 8.60881543 10.          4.61432507  4.61432507 10.          9.50413223]
 [ 6.26721763  7.78236915  4.47658402 10.         10.         10.        ]
 [10.         10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.          5.64738292]]"
37,"[[ 0.          0.2293578   2.21712538  4.35779817  7.41590214 10.        ]
 [ 0.3058104   3.51681957  8.86850153 10.         10.         10.        ]
 [ 4.43425076  8.10397554  9.09785933 10.          8.56269113 10.        ]
 [ 3.97553517  3.89908257 10.          7.26299694 10.          8.63914373]
 [ 1.75840979  9.93883792 10.          3.51681957 10.          2.52293578]
 [ 4.81651376  8.48623853  2.67584098 10.         10.          5.50458716]
 [ 5.96330275  3.74617737  3.36391437 10.         10.          2.06422018]
 [ 3.74617737 10.         10.         10.          5.65749235  2.29357798]
 [10.          8.94495413  6.34556575  9.02140673  7.79816514 10.        ]
 [ 3.13455657  4.51070336  6.49847095  9.25076453 10.          9.17431193]]"
38,"[[ 0.          0.06038647  0.24154589  0.24154589  0.18115942  0.        ]
 [ 0.24154589  1.50966184  3.32125604  1.44927536  0.36231884  0.        ]
 [ 0.18115942  2.77777778  6.52173913  4.95169082  1.8115942   0.24154589]
 [ 1.02657005  3.38164251 10.          9.48067633  3.50241546  0.84541063]
 [ 2.29468599  5.79710145 10.         10.          6.15942029  6.70289855]
 [ 5.6763285  10.         10.         10.          8.69565217  9.29951691]
 [10.         10.         10.         10.          4.34782609  1.75120773]
 [10.         10.         10.         10.          8.75603865  7.66908213]
 [ 8.45410628  7.66908213  5.49516908  7.66908213 10.         10.        ]
 [ 9.29951691  5.25362319  1.50966184  4.22705314 10.         10.        ]]"
39,"[[ 1.04333868  1.8459069   1.28410915  2.76886035  1.12359551  0.        ]
 [ 2.2070626   4.81540931  4.49438202 10.          3.93258427  0.08025682]
 [ 3.25040128  5.37720706  7.18298555 10.          6.58105939  0.08025682]
 [ 3.08988764  5.77849117  7.30337079 10.          4.01284109  0.32102729]
 [ 3.45104334  5.1364366   4.69502408  8.90850722  4.53451043  2.64847512]
 [ 2.84911717  4.21348315  5.1364366   7.10272873  7.18298555  6.9823435 ]
 [ 1.32423756  2.08667737  2.32744783  4.25361156  8.98876404 10.        ]
 [ 0.48154093  0.68218299  1.56500803  3.97271268  8.34670947 10.        ]
 [ 0.12038523  0.76243981  3.6918138   7.58426966  7.50401284 10.        ]
 [ 0.44141252  1.60513644  5.45746388  8.54735152  7.26324238  5.61797753]]"
40,"[[ 0.          0.          0.          0.0728863   0.21865889  0.0728863 ]
 [ 0.          0.          0.          0.87463557  2.18658892  6.48688047]
 [ 0.21865889  0.21865889  0.29154519  4.37317784 10.         10.        ]
 [ 0.51020408  0.51020408  1.82215743 10.         10.         10.        ]
 [ 4.44606414  3.20699708  1.89504373 10.         10.         10.        ]
 [10.          6.26822157  2.696793    7.72594752 10.         10.        ]
 [ 8.89212828  7.06997085  4.81049563  7.87172012 10.         10.        ]
 [ 6.55976676  7.94460641 10.         10.          6.92419825  4.37317784]
 [ 2.62390671  9.47521866 10.         10.         10.          3.79008746]
 [ 2.04081633  7.50728863 10.         10.         10.          3.20699708]]"
41,"[[ 0.04512635 10.          6.27256318  1.44404332  1.39891697  0.40613718]
 [ 0.         10.          9.02527076  2.39169675  2.933213    1.08303249]
 [ 0.09025271  4.82851986  5.59566787  5.18953069  4.28700361  2.70758123]
 [ 0.13537906  2.57220217  7.89711191  9.4765343   7.85198556  5.32490975]
 [ 4.87364621 10.         10.         10.         10.         10.        ]
 [10.         10.         10.         10.         10.          7.44584838]
 [ 3.15884477  7.03971119  6.90433213  5.46028881  3.42960289  1.98555957]
 [ 0.94765343  1.94043321  2.4368231   2.12093863  0.99277978  2.30144404]
 [ 0.04512635  0.63176895  1.80505415  1.53429603  1.26353791  4.24187726]
 [ 0.45126354  1.94043321  3.15884477  3.92599278  2.52707581  5.46028881]]"
42,"[[ 1.0026738   3.00802139  3.47593583  1.40374332  2.07219251  7.82085561]
 [ 2.54010695  7.95454545  6.21657754  3.00802139  1.73796791  5.7486631 ]
 [ 1.87165775  6.7513369   6.14973262  2.00534759  0.80213904  2.54010695]
 [ 0.86898396  2.67379679  1.53743316  0.86898396  0.73529412  1.80481283]
 [ 0.          1.0026738   2.54010695  3.00802139  4.41176471  5.7486631 ]
 [ 4.34491979 10.         10.         10.          8.82352941  9.09090909]
 [ 6.4171123  10.         10.         10.         10.          7.35294118]
 [ 4.07754011 10.         10.         10.          7.55347594  9.55882353]
 [ 4.14438503 10.          8.15508021  4.67914439  7.48663102 10.        ]
 [ 2.00534759 10.          2.00534759  3.20855615  7.15240642 10.        ]]"
43,"[[ 0.          0.          0.04332756  0.          0.73656846  7.66897747]
 [ 0.          0.          0.30329289  0.95320624  1.99306759  8.62218371]
 [ 0.          0.08665511  2.20970537 10.         10.         10.        ]
 [ 0.08665511  0.04332756  1.34315425  3.7694974   6.36915078  8.75216638]
 [ 0.12998267  1.08318891  3.20623917  6.41247834  6.62911612  5.63258232]
 [ 3.24956672 10.         10.         10.         10.         10.        ]
 [ 2.64298094 10.         10.          9.40207972 10.          3.50953206]
 [ 1.51646447  2.64298094  4.20277296  9.31542461 10.          1.73310225]
 [ 3.7694974   3.11958406  3.46620451  6.28249567  8.79549393  0.6932409 ]
 [ 5.24263432  3.55285962  2.25303293  2.55632582  2.3830156   0.34662045]]"
44,"[[ 0.          0.89020772  6.37982196 10.          7.4925816   3.56083086]
 [ 0.44510386  5.56379822 10.          6.67655786  7.56676558  1.78041543]
 [ 5.34124629 10.          4.22848665  9.86646884  9.94065282  7.12166172]
 [ 9.12462908  6.30563798  2.96735905 10.          8.7537092   4.97032641]
 [ 5.71216617  2.44807122 10.         10.          6.23145401 10.        ]
 [ 2.00296736  9.56973294  8.60534125  5.04451039  9.34718101 10.        ]
 [ 6.30563798  3.26409496  2.67062315  2.52225519 10.         10.        ]
 [ 1.11275964  1.78041543  2.00296736 10.         10.         10.        ]
 [ 1.92878338  5.86053412 10.         10.         10.          6.82492582]
 [ 5.71216617  9.42136499 10.         10.          6.67655786  2.22551929]]"
45,"[[ 0.          0.          0.          0.          0.          0.        ]
 [ 7.03828829 10.         10.         10.         10.         10.        ]
 [ 0.          0.33783784  0.78828829  1.18243243  1.63288288  1.46396396]
 [ 0.50675676  1.35135135  2.92792793  5.74324324  9.40315315  7.60135135]
 [ 0.84459459  3.65990991  8.0518018  10.         10.         10.        ]
 [ 1.7454955   3.82882883  9.57207207 10.         10.         10.        ]
 [ 4.33558559  6.02477477  8.38963964 10.          8.33333333  3.99774775]
 [10.         10.          6.86936937  7.65765766  6.64414414  3.37837838]
 [ 6.70045045  6.41891892  6.02477477  5.63063063  6.19369369  5.18018018]
 [ 1.68918919  2.92792793 10.         10.          5.46171171  7.77027027]]"
46,"[[ 0.          0.          0.0755287   0.45317221  0.2265861   0.1510574 ]
 [ 0.          0.          0.2265861   1.51057402  1.35951662  0.52870091]
 [ 0.          0.0755287   2.34138973  8.91238671  2.64350453  9.66767372]
 [ 0.          0.45317221  6.87311178 10.         10.         10.        ]
 [ 0.          0.75528701  8.3081571  10.         10.          7.9305136 ]
 [ 0.0755287   0.60422961  4.98489426  9.29003021  6.72205438  5.43806647]
 [ 0.          0.45317221  4.45619335 10.         10.         10.        ]
 [ 0.52870091  2.11480363  6.79758308 10.         10.         10.        ]
 [ 4.07854985 10.         10.         10.          6.64652568  7.40181269]
 [ 8.3081571   7.85498489  3.02114804  7.40181269 10.         10.        ]]"
47,"[[ 0.28538813  1.02739726  0.57077626  2.85388128  4.05251142  3.08219178]
 [ 1.82648402  2.96803653  9.87442922  7.99086758  6.22146119 10.        ]
 [ 6.39269406 10.          5.02283105  1.42694064 10.         10.        ]
 [10.          9.8173516   8.67579909 10.         10.          2.39726027]
 [ 6.79223744  2.28310502  0.          8.21917808 10.          1.99771689]
 [ 3.71004566 10.         10.         10.          5.76484018  0.456621  ]
 [10.          2.39726027  0.11415525 10.          1.14155251  1.71232877]
 [ 1.08447489  0.74200913  2.28310502 10.          4.73744292  5.82191781]
 [ 0.91324201  2.39726027  8.56164384 10.         10.         10.        ]
 [ 1.14155251  2.4543379   7.07762557  5.42237443 10.         10.        ]]"
48,"[[ 1.70603675  3.41207349  8.00524934  7.28346457  6.2992126   8.66141732]
 [10.         10.         10.         10.         10.         10.        ]
 [ 9.3175853  10.         10.          9.97375328 10.         10.        ]
 [ 5.70866142  7.15223097  5.64304462  3.87139108 10.         10.        ]
 [ 1.31233596  2.55905512  2.16535433  3.1496063  10.          6.62729659]
 [ 0.39370079  1.37795276  2.95275591  3.67454068 10.          2.03412073]
 [ 0.1312336   2.03412073  8.07086614  5.97112861  5.38057743  0.1312336 ]
 [ 0.85301837  5.44619423 10.          8.85826772  1.96850394  0.1312336 ]
 [ 5.70866142 10.         10.          8.26771654  1.24671916  0.        ]
 [10.         10.         10.          6.82414698  0.78740157  0.        ]]"
49,"[[ 0.          0.          0.27359781  1.67578659  4.48016416  4.61696306]
 [ 0.          0.03419973  0.23939808  2.15458276  6.29274966  7.28454172]
 [ 0.          0.          0.          0.06839945  0.58139535  0.47879617]
 [ 0.          0.06839945  0.75239398  2.9753762   3.14637483  1.67578659]
 [ 0.03419973  0.68399453  4.54856361 10.         10.          5.84815321]
 [ 1.43638851  3.7619699   9.47332421 10.         10.         10.        ]
 [ 2.53077975  4.03556772 10.         10.         10.         10.        ]
 [ 4.48016416  7.72913817  7.9001368   9.40492476 10.         10.        ]
 [ 2.22298222  4.00136799  2.9753762   3.18057456 10.          8.34473324]
 [ 0.06839945  0.17099863  0.20519836  0.5129959   4.34336525  5.60875513]]"
50,"[[ 0.          0.          0.          0.06906077  0.13812155  0.13812155]
 [ 0.          0.          0.10359116  0.31077348  0.58701657  1.07044199]
 [ 0.13812155  0.48342541  0.58701657  0.86325967  3.34944751  3.55662983]
 [ 0.48342541  1.27762431  1.89917127  2.93508287  4.79972376  5.69751381]
 [ 1.07044199  2.41712707  4.73066298  4.66160221  3.83287293  4.38535912]
 [ 3.62569061  8.01104972  9.28867403  8.3218232   5.04143646  1.8301105 ]
 [ 1.76104972  3.83287293  4.59254144  9.08149171  4.83425414  1.96823204]
 [ 0.34530387  0.37983425  1.58839779 10.          8.11464088  6.35359116]
 [ 1.3121547   2.10635359  6.00828729 10.         10.         10.        ]
 [ 3.72928177  3.86740331  3.83287293  8.42541436 10.         10.        ]]"
51,"[[ 0.          0.          0.07936508  1.50793651  5.71428571  8.21428571]
 [ 0.          0.03968254  0.15873016  2.1031746   6.50793651 10.        ]
 [ 0.          0.          0.03968254  0.87301587  3.88888889  8.45238095]
 [ 0.          0.03968254  0.          0.3968254   1.78571429 10.        ]
 [ 0.          0.          0.11904762  2.22222222  3.01587302 10.        ]
 [ 0.03968254  0.15873016  1.58730159  5.75396825  5.07936508 10.        ]
 [ 0.15873016  1.15079365  2.6984127   7.93650794  6.54761905 10.        ]
 [ 0.79365079  2.8968254   4.88095238  6.23015873  9.24603175 10.        ]
 [ 1.50793651  4.36507937  5.23809524 10.         10.         10.        ]
 [ 0.87301587  2.85714286  4.20634921  9.36507937 10.         10.        ]]"
52,"[[ 0.11876485  0.          1.18764846  2.96912114  6.17577197  5.70071259]
 [ 1.42517815  1.78147268  5.28503563  5.22565321  9.14489311  8.19477435]
 [ 6.7695962   3.9192399  10.          7.5415677   4.80997625  3.50356295]
 [10.          4.6912114  10.          7.5415677   1.54394299  0.59382423]
 [10.          4.75059382 10.          8.78859857  1.72209026  0.59382423]
 [10.          9.56057007 10.          9.3824228   4.6912114   3.02850356]
 [10.         10.         10.         10.          8.78859857  6.05700713]
 [10.         10.          9.14489311  8.25415677  8.25415677  7.06650831]
 [ 4.45368171  6.94774347  8.37292162  8.13539192 10.          9.26365796]
 [ 4.75059382  7.00712589  6.94774347  8.19477435  9.32304038 10.        ]]"
53,"[[ 0.34802784  8.46867749 10.          1.16009281  3.65429234  5.91647332]
 [ 0.17401392  6.26450116 10.          2.08816705  9.22273782 10.        ]
 [ 2.4361949   3.77030162  4.00232019  2.32018561 10.         10.        ]
 [10.         10.          5.27842227  2.7262181   9.3387471  10.        ]
 [10.         10.          4.58236659  2.7262181   6.3225058  10.        ]
 [ 3.0162413   2.14617169  0.75406032  0.98607889  2.90023202  4.17633411]
 [ 0.2900232   0.2900232   0.34802784  0.11600928  0.69605568  1.27610209]
 [ 5.27842227  9.74477958 10.          6.49651972  2.90023202  0.05800464]
 [10.         10.         10.          5.85846868  1.62412993  0.2900232 ]
 [10.         10.          2.7262181   0.75406032  0.23201856  0.        ]]"
54,"[[ 2.74647887  7.92253521 10.          8.48591549  4.01408451  5.        ]
 [ 3.13380282  8.55633803 10.          5.91549296  4.71830986  6.86619718]
 [ 0.49295775  0.91549296  0.84507042  1.12676056  1.1971831   4.57746479]
 [ 0.31690141  0.66901408  0.49295775  0.07042254  0.14084507  1.83098592]
 [ 2.53521127  3.13380282  2.3943662   1.02112676  0.45774648  0.91549296]
 [ 4.19014085  5.14084507  4.82394366  4.15492958  3.55633803  4.47183099]
 [ 3.66197183  4.85915493  5.21126761  5.84507042  5.17605634  6.47887324]
 [ 0.91549296  2.04225352  4.33098592  3.62676056  1.97183099  2.46478873]
 [ 0.07042254  0.84507042  2.07746479  5.73943662 10.         10.        ]
 [ 0.          0.14084507  0.59859155  1.65492958  6.65492958 10.        ]]"
55,"[[ 0.          0.          0.20424837  0.          0.          0.89869281]
 [ 0.          0.12254902  0.28594771  0.          0.16339869  5.47385621]
 [ 0.          0.89869281  0.04084967  0.36764706  7.43464052  3.02287582]
 [ 0.          2.16503268  0.28594771  7.3120915   5.92320261  5.47385621]
 [ 0.12254902  4.33006536  3.26797386 10.          6.94444444 10.        ]
 [ 4.08496732  3.30882353  9.19117647 10.         10.         10.        ]
 [ 7.84313725  4.69771242 10.          9.19117647  8.57843137 10.        ]
 [ 8.33333333  2.69607843  8.82352941  1.79738562  3.59477124  3.75816993]
 [ 5.06535948  0.08169935  5.92320261  1.6748366   4.77941176  2.45098039]
 [ 0.16339869  0.32679739  2.12418301 10.         10.         10.        ]]"
56,"[[ 1.01867572  2.97113752  4.24448217  3.39558574  2.07979626  1.18845501]
 [ 1.27334465  5.22071307  6.96095076  7.08828523  4.54159593  2.5466893 ]
 [ 0.93378608  4.8811545   8.4040747   8.4040747   6.36672326  4.54159593]
 [ 1.23089983  6.15449915 10.         10.          8.36162988  5.73005093]
 [ 1.78268251  9.46519525 10.         10.          8.27674024  5.26315789]
 [ 1.78268251  7.93718166 10.         10.          8.48896435  3.77758913]
 [ 1.82512733  4.83870968  8.31918506 10.          7.8098472   4.41426146]
 [ 0.21222411  0.46689304  3.5229202   5.98471986  3.09847199  3.09847199]
 [ 0.04244482  0.12733447  5.89983022 10.          5.13582343 10.        ]
 [ 0.          0.04244482  3.48047538 10.          6.4516129  10.        ]]"
57,"[[ 1.05985037 10.         10.         10.         10.          8.72817955]
 [10.         10.          9.47630923 10.          7.48129676  8.85286783]
 [ 3.49127182  2.24438903 10.          7.04488778  2.43142145  7.98004988]
 [ 0.12468828  3.3042394   6.04738155  0.99750623  5.73566085  9.97506234]
 [ 0.37406484  2.80548628  1.18453865  3.80299252  8.85286783  8.97755611]
 [ 8.41645885 10.         10.         10.          9.22693267  2.55610973]
 [ 0.18703242  0.49875312  2.680798    5.54862843  3.86533666  2.80548628]
 [ 0.18703242  1.18453865  3.99002494 10.          3.6159601   2.49376559]
 [ 0.99750623  2.05735661  2.680798   10.          2.11970075  1.49625935]
 [ 1.30922693  1.74563591 10.          5.48628429  0.68578554  0.        ]]"
58,"[[ 9.42028986 10.          6.38586957  1.8115942   3.21557971  3.5326087 ]
 [ 2.49094203  1.22282609  1.22282609  3.62318841  5.70652174  4.30253623]
 [ 1.04166667  2.67210145  3.35144928  7.5634058   6.74818841  4.9365942 ]
 [ 1.90217391  5.20833333  6.74818841  9.42028986  4.57427536  3.39673913]
 [ 3.80434783  9.42028986 10.          6.11413043  2.94384058  2.89855072]
 [ 4.80072464 10.         10.          3.66847826  1.72101449  7.78985507]
 [ 5.07246377 10.          5.70652174  1.99275362  7.51811594  7.88043478]
 [ 6.34057971 10.          2.30978261  4.30253623  8.74094203  1.76630435]
 [ 3.71376812  3.125       4.84601449  9.46557971  2.58152174  0.63405797]
 [ 1.44927536  4.80072464 10.          2.98913043  0.86050725  0.        ]]"
59,"[[ 0.          0.          0.          0.          0.04401408  0.08802817]
 [ 0.          0.          0.          0.08802817  0.08802817  0.26408451]
 [ 0.04401408  0.04401408  0.08802817  0.26408451  0.83626761  3.60915493]
 [ 0.          0.17605634  0.39612676  1.05633803  4.57746479 10.        ]
 [ 0.          0.30809859  1.32042254  7.70246479  9.24295775 10.        ]
 [ 0.08802817  1.67253521  9.28697183 10.          8.40669014 10.        ]
 [ 2.50880282  6.95422535  8.40669014  7.57042254 10.         10.        ]
 [ 4.5334507   5.6778169   6.55809859 10.         10.          6.8221831 ]
 [ 2.42077465  3.87323944 10.          7.52640845  6.25        6.11795775]
 [ 1.49647887 10.         10.          2.24471831  8.75880282  0.66021127]]"
60,"[[ 0.          1.21809745  3.24825986  6.0324826   6.43851508  4.52436195]
 [ 0.17401392  2.61020882  7.42459397 10.         10.         10.        ]
 [ 0.          0.92807425  5.51044084 10.         10.         10.        ]
 [ 0.11600928  0.87006961  4.46635731  7.13457077 10.         10.        ]
 [ 0.40603248  3.24825986  6.38051044  8.17865429 10.         10.        ]
 [ 0.87006961  5.91647332  6.84454756  6.38051044  7.59860789  5.16241299]
 [ 0.87006961  6.55452436  8.52668213  4.75638051  6.67053364  9.74477958]
 [ 0.81206497  5.22041763  7.07656613  6.09048724 10.         10.        ]
 [ 0.40603248  2.7262181   7.54060325 10.          8.64269142  4.52436195]
 [ 0.05800464  2.03016241  6.72853828 10.         10.         10.        ]]"
61,"[[ 0.          0.          0.64102564  9.4988345   5.82750583  8.62470862]
 [ 0.          0.6993007  10.         10.         10.          9.79020979]
 [ 0.11655012  4.1958042  10.         10.         10.          8.50815851]
 [ 0.81585082 10.         10.         10.          6.81818182 10.        ]
 [ 1.22377622  6.93473193  8.97435897  4.54545455 10.         10.        ]
 [ 1.68997669  3.43822844  2.68065268 10.         10.          5.65268065]
 [ 0.64102564  1.51515152  7.75058275  5.06993007  7.63403263  2.97202797]
 [ 0.6993007   5.36130536  2.68065268  4.13752914  4.13752914  3.37995338]
 [ 2.73892774  2.62237762  3.43822844  2.73892774  4.42890443  9.55710956]
 [ 1.10722611  3.08857809  2.91375291  1.86480186  8.56643357 10.        ]]"
62,"[[ 0.12355848  0.20593081  0.          1.35914333  3.45963756  4.11861614]
 [ 1.0708402   2.80065898  2.42998353  2.18286656  8.07248764  7.49588138]
 [ 2.1416804   4.07742998  4.15980231  3.58319605  5.43657331  5.60131796]
 [ 1.23558484  3.25370675  2.59472817  1.89456343  2.59472817  4.11861614]
 [ 0.20593081  0.57660626  0.86490939  0.98846787  2.38879736  3.13014827]
 [ 1.31795717  2.05930807  1.48270181  0.94728171  1.11202636  1.31795717]
 [ 4.53047776  5.5601318   4.61285008  2.84184514  2.01812191  5.18945634]
 [ 2.47116969  4.69522241  3.58319605  3.74794069  5.97199341 10.        ]
 [ 2.30642504  6.01317957  4.94233937  4.44810544  9.184514   10.        ]
 [ 6.75453048 10.          9.26688633  3.66556837  7.04283361 10.        ]]"
63,"[[ 0.          4.94987469  0.7518797   0.81453634  8.70927318  2.31829574]
 [ 1.75438596  6.45363409  1.44110276  7.14285714  6.07769424  0.56390977]
 [ 8.39598997  4.13533835  4.57393484 10.          1.19047619  0.68922306]
 [10.          5.51378446 10.          3.7593985   2.06766917  0.87719298]
 [10.         10.          7.76942356  6.20300752  2.63157895  8.08270677]
 [ 8.08270677 10.         10.          7.70676692  8.20802005 10.        ]
 [ 9.3358396  10.         10.         10.         10.          7.39348371]
 [ 9.77443609 10.         10.         10.          7.95739348  0.37593985]
 [ 3.50877193 10.         10.         10.          2.38095238  0.12531328]
 [ 2.94486216 10.         10.          9.39849624  2.75689223  0.06265664]]"
64,"[[ 1.26931567  1.04856512  0.66225166  4.74613687  2.0419426   0.33112583]
 [ 7.45033113  6.51214128  5.90507726 10.         10.          8.60927152]
 [ 8.05739514  7.72626932  5.5187638  10.          9.60264901  4.85651214]
 [ 7.00883002  4.85651214  1.93156733  9.98896247  4.69094923  1.04856512]
 [10.          5.73951435  3.47682119  5.35320088  4.19426049  2.09713024]
 [10.          5.18763797  4.02869757  8.05739514  8.66445916  3.53200883]
 [10.          3.09050773  5.73951435 10.         10.          6.89845475]
 [ 9.49227373  1.37969095  2.26269316  8.49889625 10.         10.        ]
 [ 3.25607064  0.27593819  0.38631347  3.09050773 10.         10.        ]
 [ 0.33112583  0.          0.22075055  3.47682119 10.         10.        ]]"
65,"[[ 0.          0.          0.          0.          0.62893082  5.66037736]
 [ 0.          0.          0.89098532  3.721174    7.65199161  8.01886792]
 [ 0.47169811  5.45073375  6.34171908  9.43396226 10.          3.721174  ]
 [ 7.44234801  4.66457023  3.93081761 10.          8.38574423  0.68134172]
 [ 0.94339623  4.87421384 10.         10.          1.10062893  0.        ]
 [ 3.03983229 10.          7.1278826  10.          0.20964361  0.47169811]
 [ 9.48637317  4.66457023  3.4591195   9.85324948  0.68134172  2.46331237]
 [ 2.51572327  3.98322851  2.46331237  6.13207547  7.54716981 10.        ]
 [ 2.93501048  3.93081761  2.04402516 10.         10.          3.93081761]
 [ 3.4591195   2.56813417  6.44654088 10.          5.76519916  3.6687631 ]]"
66,"[[ 0.          1.14068441  2.75665399  4.13498099  3.70722433  0.66539924]
 [ 0.09505703  8.22243346  3.0418251   9.4581749   4.75285171  3.18441065]
 [ 2.80418251 10.         10.          9.74334601  6.41634981  5.65589354]
 [10.          5.70342205 10.          6.98669202  6.6539924   4.61026616]
 [ 8.07984791  7.55703422  6.89163498  9.41064639  5.70342205  3.75475285]
 [ 3.46958175  5.79847909 10.         10.         10.         10.        ]
 [ 3.51711027 10.         10.         10.         10.          1.42585551]
 [ 6.6539924  10.          7.55703422  9.69581749  3.56463878  0.38022814]
 [ 2.85171103  2.56653992  2.89923954  9.36311787  2.28136882  0.04752852]
 [ 1.14068441  0.99809886  1.28326996  6.84410646  1.85361217  0.        ]]"
