,Shading Maps
0,"[[ 0.          1.59817352  4.58047945]
 [ 2.51141553  7.29166667 10.        ]
 [ 4.93721461  9.17522831 10.        ]]"
1,"[[ 0.         10.          7.75222552]
 [ 4.48813056 10.         10.        ]
 [ 1.40949555 10.         10.        ]]"
2,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
3,"[[10.         10.          0.        ]
 [ 5.47839506 10.         10.        ]
 [ 5.90277778 10.         10.        ]]"
4,"[[ 0.         10.         10.        ]
 [ 7.50636132 10.         10.        ]
 [10.         10.         10.        ]]"
5,"[[ 2.60479042 10.         10.        ]
 [ 2.66467066 10.         10.        ]
 [ 0.          5.2994012   3.95209581]]"
6,"[[ 1.07204117  0.         10.        ]
 [ 6.86106346 10.         10.        ]
 [ 6.56089194  3.25900515 10.        ]]"
7,"[[ 0.          4.19611307 10.        ]
 [ 5.74204947 10.         10.        ]
 [10.         10.         10.        ]]"
8,"[[ 8.76042908 10.         10.        ]
 [ 3.60548272 10.         10.        ]
 [ 0.         10.         10.        ]]"
9,"[[ 0.          8.29621381  0.50111359]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
10,"[[ 0.          4.84126984  3.92857143]
 [ 2.57936508  5.79365079 10.        ]
 [ 5.99206349 10.         10.        ]]"
11,"[[ 0.   10.    3.55]
 [10.   10.   10.  ]
 [10.   10.   10.  ]]"
12,"[[ 5.1    7.2    0.   ]
 [ 5.15  10.    10.   ]
 [ 1.475 10.    10.   ]]"
13,"[[ 0.          5.03546099  1.5248227 ]
 [ 7.87234043  5.70921986 10.        ]
 [10.         10.         10.        ]]"
14,"[[ 0.          4.57038391  7.97531993]
 [ 1.34826325  9.89488117 10.        ]
 [ 0.79981718 10.         10.        ]]"
15,"[[ 3.61386139  0.          7.97029703]
 [ 8.31683168 10.         10.        ]
 [10.         10.         10.        ]]"
16,"[[ 0.         10.          8.54519774]
 [10.         10.          9.88700565]
 [10.         10.          7.69774011]]"
17,"[[ 1.07505864  0.62548866  0.        ]
 [ 1.79827991  5.82486317  7.05629398]
 [ 3.12744332 10.         10.        ]]"
18,"[[ 0.          1.39372822  8.79790941]
 [ 1.33565621 10.         10.        ]
 [ 9.49477352 10.          9.52380952]]"
19,"[[ 6.51302605 10.         10.        ]
 [ 0.         10.         10.        ]
 [10.         10.          6.46292585]]"
20,"[[ 0.          1.82660851  1.30861505]
 [ 9.29661941 10.         10.        ]
 [10.         10.         10.        ]]"
21,"[[ 0.          2.75707899  2.68256334]
 [ 9.64977645 10.         10.        ]
 [10.         10.         10.        ]]"
22,"[[ 0.          8.34615385 10.        ]
 [10.         10.         10.        ]
 [10.         10.          9.84615385]]"
23,"[[ 0.          6.15034169  6.03644647]
 [ 5.66628702  8.57061503  7.06150342]
 [ 8.39977221 10.         10.        ]]"
24,"[[ 0.          5.9178744  10.        ]
 [ 8.81642512  8.45410628  9.84299517]
 [10.         10.         10.        ]]"
25,"[[ 0.          7.85340314  3.69764398]
 [ 5.43193717 10.         10.        ]
 [ 9.68586387 10.         10.        ]]"
26,"[[ 0.          0.67849687  2.27035491]
 [ 1.30480167  4.67118998 10.        ]
 [ 3.10542797 10.         10.        ]]"
27,"[[ 0.          2.97074954  9.50639854]
 [ 4.06764168 10.         10.        ]
 [10.         10.         10.        ]]"
28,"[[ 0.          7.87623066 10.        ]
 [10.         10.         10.        ]
 [10.          7.94655415  4.18424754]]"
29,"[[ 0.         10.         10.        ]
 [ 5.25092937 10.         10.        ]
 [ 5.80855019 10.         10.        ]]"
30,"[[ 0.          2.75229358 10.        ]
 [ 5.31345566 10.         10.        ]
 [10.         10.         10.        ]]"
31,"[[ 3.38370565 10.         10.        ]
 [ 4.86202365 10.         10.        ]
 [ 0.          9.26412615 10.        ]]"
32,"[[10. 10. 10.]
 [10. 10. 10.]
 [10.  9.  0.]]"
33,"[[ 0.          4.4966443  10.        ]
 [ 9.46308725 10.         10.        ]
 [ 8.12080537 10.         10.        ]]"
34,"[[ 0.          5.43087971 10.        ]
 [ 3.09694794 10.         10.        ]
 [ 9.82944345 10.         10.        ]]"
35,"[[ 0.          5.07411631  4.10490308]
 [10.         10.         10.        ]
 [ 5.84378563 10.         10.        ]]"
36,"[[ 0.          8.52601156  5.78034682]
 [ 2.74566474 10.         10.        ]
 [10.         10.         10.        ]]"
37,"[[ 0.         10.         10.        ]
 [ 5.28776978 10.         10.        ]
 [10.         10.         10.        ]]"
38,"[[ 0.          2.70121279  1.24035281]
 [ 9.8952591  10.         10.        ]
 [10.         10.         10.        ]]"
39,"[[ 0.          8.19022457  7.2655218 ]
 [ 3.4346103  10.         10.        ]
 [ 4.16116248 10.         10.        ]]"
40,"[[ 0.          3.56633381  4.10128388]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
41,"[[ 1.48854962 10.          0.        ]
 [ 9.88549618 10.          7.82442748]
 [ 8.01526718 10.         10.        ]]"
42,"[[ 0.         10.          2.34254992]
 [10.         10.         10.        ]
 [ 0.42242704 10.         10.        ]]"
43,"[[ 0.          2.12952159 10.        ]
 [ 1.2252042  10.         10.        ]
 [10.          7.90548425  7.49708285]]"
44,"[[ 6.91860465  9.12790698 10.        ]
 [10.         10.         10.        ]
 [ 0.          3.19767442  5.40697674]]"
45,"[[ 0.         10.         10.        ]
 [10.         10.         10.        ]
 [10.         10.          9.39086294]]"
46,"[[ 4.14893617  1.27659574  0.        ]
 [10.         10.          6.64893617]
 [10.         10.         10.        ]]"
47,"[[ 0.         10.         10.        ]
 [ 6.22171946 10.         10.        ]
 [10.         10.          5.48642534]]"
48,"[[ 0.         10.         10.        ]
 [10.         10.         10.        ]
 [10.          9.97983871  3.57862903]]"
49,"[[ 0.          2.00109649  9.29276316]
 [ 2.38486842 10.         10.        ]
 [10.         10.         10.        ]]"
50,"[[ 0.          1.45547945  4.99429224]
 [ 3.82420091 10.         10.        ]
 [ 9.84589041 10.         10.        ]]"
51,"[[ 1.40218878  1.67578659  0.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
