,Shading Maps
52,"[[ 0.          3.7084399  10.        ]
 [ 3.55924979  8.93009378 10.        ]
 [ 0.38363171 10.          8.41858483]]"
53,"[[ 2.0952381  10.         10.        ]
 [ 1.71428571  7.19047619 10.        ]
 [ 3.28571429  0.          3.33333333]]"
54,"[[ 0.          1.10815603  3.54609929]
 [ 1.95035461 10.         10.        ]
 [10.         10.          6.69326241]]"
55,"[[ 0.          5.05427408  6.27544098]
 [ 7.32700136 10.         10.        ]
 [10.         10.         10.        ]]"
56,"[[ 1.5497553  10.         10.        ]
 [10.         10.          0.        ]
 [10.          6.19902121  6.03588907]]"
57,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
58,"[[ 0.         10.          9.11383285]
 [ 9.11383285 10.         10.        ]
 [10.         10.         10.        ]]"
59,"[[ 0.          1.28737542  0.12458472]
 [ 2.99003322  6.3538206  10.        ]
 [ 3.40531561 10.         10.        ]]"
60,"[[ 0.          6.86059276 10.        ]
 [ 2.33260154  9.33040615  6.28430296]
 [ 2.9363337  10.         10.        ]]"
61,"[[ 0.          6.50118203 10.        ]
 [ 6.85579196 10.         10.        ]
 [10.         10.         10.        ]]"
62,"[[ 0.         10.         10.        ]
 [ 2.25856698 10.          1.63551402]
 [ 3.27102804 10.          8.02180685]]"
63,"[[ 0.          3.17247542  9.56210903]
 [ 2.01072386 10.         10.        ]
 [ 1.89901698 10.         10.        ]]"
64,"[[ 3.72137405  4.15076336 10.        ]
 [ 7.63358779 10.         10.        ]
 [ 0.         10.         10.        ]]"
65,"[[ 0.         10.         10.        ]
 [ 7.92785235 10.         10.        ]
 [10.         10.         10.        ]]"
66,"[[ 0.          2.37186478  5.4525627 ]
 [ 3.29880044 10.         10.        ]
 [10.         10.         10.        ]]"
67,"[[ 0.          0.79239303  2.29793978]
 [ 1.70364501 10.         10.        ]
 [10.         10.         10.        ]]"
68,"[[ 3.35178352  2.30627306  0.        ]
 [10.         10.         10.        ]
 [ 5.19680197  8.27183272 10.        ]]"
69,"[[ 0.          8.14720812 10.        ]
 [10.         10.         10.        ]
 [10.         10.          9.21319797]]"
70,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
71,"[[ 0.          0.92494715  9.11733615]
 [ 0.68710359 10.         10.        ]
 [ 9.11733615 10.         10.        ]]"
72,"[[ 0.         10.         10.        ]
 [ 4.58435208 10.         10.        ]
 [ 6.05134474 10.         10.        ]]"
73,"[[ 2.74784483 10.          8.62068966]
 [ 3.82543103 10.         10.        ]
 [ 0.         10.         10.        ]]"
74,"[[ 0.          6.54466501 10.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
75,"[[ 0.          5.47645126  6.92771084]
 [10.         10.         10.        ]
 [ 5.23001095 10.         10.        ]]"
76,"[[ 0.          2.31871838  1.60202361]
 [ 6.11298482 10.         10.        ]
 [10.         10.         10.        ]]"
77,"[[ 0.          3.16728167  1.87576876]
 [ 5.56580566 10.         10.        ]
 [10.         10.         10.        ]]"
78,"[[ 0.          6.63481953 10.        ]
 [ 9.07643312 10.         10.        ]
 [10.         10.         10.        ]]"
79,"[[ 0.          0.68380744  5.41575492]
 [ 1.50437637  5.60722101 10.        ]
 [ 6.15426696 10.         10.        ]]"
80,"[[ 0.          7.9674221   6.37393768]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
81,"[[ 0.          4.03868032 10.        ]
 [ 2.9294653  10.         10.        ]
 [ 8.30489192 10.         10.        ]]"
82,"[[ 0.          5.89519651  3.24781659]
 [ 1.61026201 10.          8.37882096]
 [ 8.95196507 10.         10.        ]]"
83,"[[ 0.          7.34200743 10.        ]
 [10.         10.         10.        ]
 [ 4.18215613  9.99070632 10.        ]]"
84,"[[ 0.          2.25591716  5.89866864]
 [ 1.2943787   7.87721893 10.        ]
 [ 2.01553254 10.         10.        ]]"
85,"[[ 0.          0.05800464 10.        ]
 [10.         10.         10.        ]
 [10.         10.          3.77030162]]"
86,"[[ 0.          3.69875223  1.60427807]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
87,"[[ 0.          7.70223752 10.        ]
 [10.         10.         10.        ]
 [ 8.08950086 10.         10.        ]]"
88,"[[ 0.    1.8   1.72]
 [10.   10.   10.  ]
 [ 4.88 10.   10.  ]]"
89,"[[ 0.         10.         10.        ]
 [10.         10.         10.        ]
 [ 6.23595506 10.         10.        ]]"
90,"[[ 0.         10.         10.        ]
 [10.         10.          5.34825871]
 [10.          0.31094527 10.        ]]"
91,"[[ 0.         10.         10.        ]
 [ 5.37634409  9.72222222 10.        ]
 [10.         10.         10.        ]]"
92,"[[ 4.60385439 10.         10.        ]
 [ 6.69164882 10.         10.        ]
 [ 0.         10.         10.        ]]"
93,"[[ 0.          3.3197832   9.3495935 ]
 [ 2.40514905 10.         10.        ]
 [10.         10.         10.        ]]"
94,"[[ 0.          1.60438668  6.76279448]
 [ 5.28025995 10.         10.        ]
 [ 6.25507717 10.         10.        ]]"
95,"[[ 0.          1.50629496  1.03417266]
 [ 1.86600719  6.33992806  8.09352518]
 [ 5.7778777  10.         10.        ]]"
96,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
97,"[[ 0.         10.         10.        ]
 [ 7.21830986 10.         10.        ]
 [ 9.5657277  10.         10.        ]]"
98,"[[ 0.          1.55466399 10.        ]
 [ 1.7552658  10.         10.        ]
 [10.         10.         10.        ]]"
99,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
100,"[[ 0.          9.03933434 10.        ]
 [ 3.36611195 10.         10.        ]
 [10.         10.         10.        ]]"
101,"[[ 0.68649886  4.86270023  0.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
102,"[[ 0.          6.85210312 10.        ]
 [ 5.73270014 10.         10.        ]
 [ 6.95386703 10.         10.        ]]"
103,"[[ 0.         10.         10.        ]
 [ 8.26797386 10.         10.        ]
 [10.         10.          3.10457516]]"
104,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
105,"[[ 0.          6.13799283 10.        ]
 [ 6.58602151 10.         10.        ]
 [10.         10.         10.        ]]"
106,"[[10.          3.80215343  0.        ]
 [10.         10.         10.        ]
 [ 5.34993271 10.         10.        ]]"
107,"[[ 0.          1.16516762  6.03025348]
 [ 3.16843827 10.         10.        ]
 [10.         10.          8.44235487]]"
108,"[[ 0.          5.13085399  1.68732782]
 [ 2.99586777 10.          7.23140496]
 [10.         10.         10.        ]]"
109,"[[ 1.59574468 10.         10.        ]
 [ 7.34042553 10.         10.        ]
 [ 0.         10.         10.        ]]"
110,"[[ 0.          6.02836879  8.86524823]
 [ 3.45744681 10.         10.        ]
 [ 6.91489362 10.         10.        ]]"
111,"[[ 0.72519084  0.          5.38167939]
 [ 5.99236641  8.16793893 10.        ]
 [10.          7.70992366  0.83969466]]"
112,"[[ 0.         10.          2.23048327]
 [10.         10.         10.        ]
 [ 3.99628253 10.         10.        ]]"
113,"[[ 0.         10.         10.        ]
 [ 5.31437126 10.         10.        ]
 [ 5.8008982  10.         10.        ]]"
114,"[[ 0.          5.83791209 10.        ]
 [ 7.00549451 10.         10.        ]
 [ 4.84203297 10.         10.        ]]"
115,"[[ 0.          8.45959596  4.08249158]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
116,"[[ 0.          2.15123859  5.6714472 ]
 [ 1.66232073  7.75749674 10.        ]
 [ 9.45241199 10.         10.        ]]"
117,"[[ 0.          3.1134402   5.91861899]
 [ 8.93958076 10.         10.        ]
 [ 8.72379778 10.         10.        ]]"
118,"[[ 0.          8.19238901 10.        ]
 [ 9.3551797  10.         10.        ]
 [10.         10.         10.        ]]"
119,"[[ 6.95020747 10.         10.        ]
 [10.         10.          7.26141079]
 [ 0.         10.         10.        ]]"
120,"[[ 0.          8.18621868  1.28132118]
 [ 6.90489749 10.         10.        ]
 [ 2.36332574 10.          5.82289294]]"
121,"[[ 0.         10.         10.        ]
 [ 1.77283654 10.         10.        ]
 [ 1.02163462 10.         10.        ]]"
122,"[[ 0.          1.58682635  5.65868263]
 [ 4.64071856 10.         10.        ]
 [10.         10.         10.        ]]"
123,"[[ 0.          8.17307692 10.        ]
 [10.         10.         10.        ]
 [ 6.51223776 10.         10.        ]]"
124,"[[ 0.          6.36189258 10.        ]
 [ 5.7544757  10.         10.        ]
 [10.         10.         10.        ]]"
125,"[[ 5.81471748  0.         10.        ]
 [ 5.71616294 10.         10.        ]
 [ 9.52693824 10.          9.95400788]]"
126,"[[ 0.         10.          9.26449788]
 [ 5.3748232  10.         10.        ]
 [10.         10.         10.        ]]"
127,"[[ 1.29198966 10.          0.        ]
 [ 7.6873385  10.         10.        ]
 [ 9.2377261  10.         10.        ]]"
128,"[[ 0.         10.          4.75543478]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
129,"[[ 0.          4.17981073  9.42429022]
 [ 7.05835962 10.         10.        ]
 [ 6.86119874 10.         10.        ]]"
130,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
131,"[[ 0.          5.53855569 10.        ]
 [ 6.42594859 10.         10.        ]
 [ 8.20073439 10.          9.63892289]]"
132,"[[ 4.26045016  4.54180064  0.        ]
 [10.         10.          7.59646302]
 [10.         10.         10.        ]]"
133,"[[ 5.48986486  1.01351351  0.        ]
 [ 3.5472973   8.82601351 10.        ]
 [ 8.82601351 10.          4.98310811]]"
134,"[[ 1.23966942 10.          6.81818182]
 [10.         10.          0.        ]
 [10.         10.         10.        ]]"
135,"[[ 0.         10.          9.77112676]
 [ 6.38204225 10.         10.        ]
 [10.         10.         10.        ]]"
136,"[[ 7.77153558 10.         10.        ]
 [10.         10.         10.        ]
 [ 2.10674157  0.         10.        ]]"
137,"[[ 0.          4.75482912 10.        ]
 [ 3.82615156 10.         10.        ]
 [10.         10.         10.        ]]"
138,"[[ 0.          3.53658537  5.34146341]
 [ 3.63414634 10.         10.        ]
 [ 7.36585366 10.         10.        ]]"
139,"[[ 0.          3.91705069 10.        ]
 [ 4.1858679  10.         10.        ]
 [10.         10.         10.        ]]"
140,"[[ 0.          4.38978829  9.80697385]
 [ 7.56537983 10.         10.        ]
 [ 4.98132005 10.         10.        ]]"
141,"[[ 0.46554935  5.72625698  0.        ]
 [10.         10.         10.        ]
 [ 5.58659218 10.          9.4972067 ]]"
142,"[[ 0.          0.4027618   3.50978136]
 [ 2.07134638  4.11392405  9.23475259]
 [ 6.55926352 10.         10.        ]]"
143,"[[ 1.49377593  7.01244813  2.94605809]
 [ 5.10373444 10.          6.70124481]
 [ 0.          2.82157676  5.89211618]]"
144,"[[ 0.         10.         10.        ]
 [ 8.84831461 10.         10.        ]
 [ 8.52059925 10.         10.        ]]"
145,"[[ 0.4318618   4.41458733  2.25527831]
 [ 0.         10.         10.        ]
 [10.         10.         10.        ]]"
146,"[[10.         10.          8.58208955]
 [10.         10.         10.        ]
 [ 8.50746269 10.          0.        ]]"
147,"[[ 0.        10.        10.       ]
 [ 4.2003231 10.        10.       ]
 [10.        10.        10.       ]]"
148,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
149,"[[ 0.          7.77559055 10.        ]
 [ 8.34153543 10.         10.        ]
 [10.         10.          2.21456693]]"
150,"[[ 0.          9.02061856 10.        ]
 [ 3.95189003 10.         10.        ]
 [ 9.96563574 10.         10.        ]]"
151,"[[ 0.          7.01133144 10.        ]
 [ 2.19546742  9.52549575 10.        ]
 [ 1.48725212 10.         10.        ]]"
152,"[[ 0.          8.0495356   0.13544892]
 [10.         10.         10.        ]
 [10.         10.          7.21749226]]"
153,"[[ 0.          7.40131579  6.78453947]
 [ 5.30427632 10.         10.        ]
 [10.         10.         10.        ]]"
154,"[[ 0.          6.91161357 10.        ]
 [ 9.1983556  10.         10.        ]
 [ 6.96300103 10.         10.        ]]"
155,"[[ 0.          6.07594937  3.57594937]
 [ 5.53797468 10.         10.        ]
 [ 5.50632911 10.         10.        ]]"
156,"[[ 0.          2.3381295   8.41726619]
 [10.         10.         10.        ]
 [ 4.78417266  6.58273381 10.        ]]"
157,"[[ 0.          8.52745424 10.        ]
 [10.         10.         10.        ]
 [ 3.57737105 10.         10.        ]]"
158,"[[ 1.24407583 10.         10.        ]
 [10.         10.          7.96800948]
 [10.          8.32345972  0.        ]]"
159,"[[ 0.          1.06511254  2.02974277]
 [ 3.79823151  7.7170418  10.        ]
 [ 6.89308682 10.         10.        ]]"
160,"[[ 0.         10.         10.        ]
 [ 8.83905013 10.         10.        ]
 [10.         10.         10.        ]]"
161,"[[ 0.          2.47252747  2.68385461]
 [ 6.88926458 10.         10.        ]
 [10.         10.         10.        ]]"
162,"[[ 0.          3.46820809  9.16184971]
 [ 9.71098266 10.         10.        ]
 [10.         10.          7.97687861]]"
163,"[[ 0.          9.23836389 10.        ]
 [ 2.08039492 10.         10.        ]
 [10.         10.         10.        ]]"
164,"[[ 0.          4.24028269 10.        ]
 [ 3.00353357 10.         10.        ]
 [ 0.88339223  8.48056537 10.        ]]"
165,"[[ 0.          1.70233463  2.06712062]
 [ 7.32003891 10.         10.        ]
 [10.         10.          9.58171206]]"
166,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
167,"[[ 0.         10.         10.        ]
 [ 9.17721519 10.         10.        ]
 [10.         10.         10.        ]]"
168,"[[ 0.          3.15789474 10.        ]
 [ 1.71052632  7.30263158 10.        ]
 [ 3.96929825  9.23245614 10.        ]]"
169,"[[ 0.          0.22292994  0.70063694]
 [ 7.13375796 10.          5.76433121]
 [10.         10.         10.        ]]"
170,"[[ 0.          2.81040268  2.68456376]
 [10.         10.         10.        ]
 [ 0.54530201 10.          0.33557047]]"
171,"[[ 0.          4.47826087 10.        ]
 [ 5.60869565 10.         10.        ]
 [ 3.69565217 10.         10.        ]]"
172,"[[ 0.72765073  0.67567568  3.58627859]
 [ 5.66528067  8.26403326 10.        ]
 [ 0.          9.25155925 10.        ]]"
173,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
174,"[[ 0.13914657 10.          0.13914657]
 [ 6.72541744 10.         10.        ]
 [ 0.         10.         10.        ]]"
175,"[[ 0.          3.46251588 10.        ]
 [ 3.46251588 10.         10.        ]
 [10.         10.         10.        ]]"
176,"[[ 0.          9.38566553 10.        ]
 [ 8.61774744 10.         10.        ]
 [10.         10.         10.        ]]"
177,"[[ 0.          6.62816282  6.79317932]
 [ 6.21562156 10.         10.        ]
 [ 9.98349835 10.         10.        ]]"
178,"[[ 3.75        4.27631579  0.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
179,"[[ 0.20408163  0.13605442  3.57142857]
 [ 0.          3.7755102  10.        ]
 [ 4.82993197 10.         10.        ]]"
180,"[[ 0.86445367 10.         10.        ]
 [ 0.         10.         10.        ]
 [ 3.25034578 10.         10.        ]]"
181,"[[ 0.          0.54288817  4.34310532]
 [ 1.90010858  6.08034745 10.        ]
 [ 3.90879479  8.03474484 10.        ]]"
182,"[[10.          0.53030303  6.96969697]
 [10.         10.         10.        ]
 [ 0.          9.39393939 10.        ]]"
183,"[[ 0.          3.06186869 10.        ]
 [ 8.4280303  10.         10.        ]
 [10.         10.         10.        ]]"
184,"[[ 0.         10.          8.86948529]
 [ 7.26102941 10.         10.        ]
 [10.         10.          9.88051471]]"
185,"[[ 0.          6.26252505 10.        ]
 [ 7.16432866 10.         10.        ]
 [10.         10.         10.        ]]"
186,"[[ 0.          8.75935162  4.9563591 ]
 [10.         10.         10.        ]
 [ 2.49376559 10.         10.        ]]"
187,"[[ 6.19834711  9.36639118  3.51239669]
 [10.          4.82093664 10.        ]
 [ 0.         10.         10.        ]]"
188,"[[ 0.          3.05851064 10.        ]
 [ 5.98404255 10.         10.        ]
 [ 7.89007092  9.75177305 10.        ]]"
189,"[[ 0.          7.92682927 10.        ]
 [ 3.04878049 10.         10.        ]
 [ 7.85509326 10.         10.        ]]"
190,"[[ 0.          7.14928058 10.        ]
 [ 6.11510791 10.         10.        ]
 [ 3.10251799 10.         10.        ]]"
191,"[[ 0.         10.          4.11036036]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
192,"[[ 6.79530201  7.15883669  0.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
193,"[[ 0.         10.          3.48623853]
 [ 2.70642202 10.          7.98165138]
 [ 0.77981651 10.          1.78899083]]"
194,"[[ 0.          4.44369064  4.47761194]
 [ 5.73270014  5.76662144 10.        ]
 [ 7.66621438 10.         10.        ]]"
195,"[[ 0.         10.          0.83333333]
 [ 7.93859649 10.          8.99122807]
 [ 4.8245614  10.         10.        ]]"
196,"[[ 0.          4.63206307 10.        ]
 [ 7.09592641  9.23127464 10.        ]
 [ 9.42838371 10.         10.        ]]"
197,"[[ 0.         10.         10.        ]
 [ 2.57142857 10.         10.        ]
 [ 3.         10.         10.        ]]"
198,"[[ 0.          7.54206731 10.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
199,"[[ 1.46147033  2.10363153  4.65013286]
 [ 0.99645704  7.63950399 10.        ]
 [ 0.          6.66519043 10.        ]]"
200,"[[ 0.         10.         10.        ]
 [ 6.31262525 10.         10.        ]
 [10.         10.         10.        ]]"
201,"[[ 0.          4.17626728 10.        ]
 [10.          9.56221198 10.        ]
 [ 8.52534562 10.         10.        ]]"
202,"[[ 0.          1.72209026  5.01781473]
 [ 2.79097387  8.81828979 10.        ]
 [ 9.64964371 10.         10.        ]]"
203,"[[ 0.          3.59824781 10.        ]
 [ 1.28285357 10.         10.        ]
 [ 6.91489362 10.         10.        ]]"
204,"[[ 0.          2.16292135  4.91573034]
 [ 2.13483146  5.61797753 10.        ]
 [ 6.93820225 10.         10.        ]]"
205,"[[ 0.          0.45691906  9.23629243]
 [ 3.3616188  10.         10.        ]
 [10.         10.         10.        ]]"
206,"[[ 0.96749226 10.         10.        ]
 [10.         10.         10.        ]
 [10.         10.          0.        ]]"
207,"[[ 0.          8.62235067  6.50289017]
 [ 3.32369942 10.         10.        ]
 [ 5.05780347 10.         10.        ]]"
208,"[[ 0.  10.  10. ]
 [ 8.2 10.  10. ]
 [10.  10.  10. ]]"
209,"[[ 0.          7.45341615 10.        ]
 [ 4.71014493 10.         10.        ]
 [ 3.88198758 10.         10.        ]]"
210,"[[ 0.          2.59795571 10.        ]
 [ 0.68143101 10.         10.        ]
 [ 5.36626917 10.          9.7955707 ]]"
211,"[[ 0.          1.8995098   5.35130719]
 [ 3.79901961  9.9877451  10.        ]
 [ 5.26960784 10.          9.25245098]]"
212,"[[ 3.06952663  7.28550296  0.        ]
 [ 5.32544379 10.          6.3239645 ]
 [ 7.65532544 10.         10.        ]]"
213,"[[ 0.          4.43181818  6.96022727]
 [ 2.32954545 10.         10.        ]
 [ 3.72159091 10.         10.        ]]"
214,"[[ 0.          3.8434903   6.44044321]
 [ 4.81301939 10.         10.        ]
 [10.         10.         10.        ]]"
215,"[[ 0.          0.77844311 10.        ]
 [ 1.82634731 10.         10.        ]
 [10.         10.         10.        ]]"
216,"[[ 0.          9.05172414  4.74137931]
 [ 5.0862069  10.         10.        ]
 [10.         10.         10.        ]]"
217,"[[ 0.         10.          8.00821355]
 [10.          9.49691992 10.        ]
 [10.         10.         10.        ]]"
218,"[[ 0.         10.          4.14312618]
 [10.         10.          5.83804143]
 [10.          4.70809793  4.47269303]]"
219,"[[ 0.          6.2962963   6.2037037 ]
 [ 2.80864198 10.         10.        ]
 [ 7.19135802 10.         10.        ]]"
220,"[[ 1.4137931 10.        10.       ]
 [ 4.5862069 10.        10.       ]
 [ 0.        10.        10.       ]]"
221,"[[ 0.          7.93768546  5.82344214]
 [10.         10.         10.        ]
 [10.         10.          4.93323442]]"
222,"[[ 0.          2.33931947  3.35538752]
 [ 2.64650284  7.06521739 10.        ]
 [10.         10.         10.        ]]"
223,"[[ 0.          3.65535248 10.        ]
 [ 6.20104439 10.         10.        ]
 [10.         10.          8.64882507]]"
224,"[[ 4.23951049  8.82867133  0.        ]
 [10.         10.          5.68181818]
 [ 2.88461538 10.         10.        ]]"
225,"[[ 0.          8.40611354  1.69213974]
 [ 7.53275109 10.         10.        ]
 [ 6.33187773 10.          9.82532751]]"
226,"[[10.         10.          6.91011236]
 [ 7.35955056 10.         10.        ]
 [ 0.          9.66292135 10.        ]]"
227,"[[ 0.          4.88013699  7.3630137 ]
 [ 2.53995434 10.         10.        ]
 [ 8.07648402 10.         10.        ]]"
228,"[[ 0.          4.7029703   5.61056106]
 [ 7.1369637  10.         10.        ]
 [10.         10.         10.        ]]"
229,"[[ 5.4835924  10.          0.        ]
 [ 9.84455959 10.          5.65630397]
 [10.         10.         10.        ]]"
230,"[[ 3.00829876  4.46058091  0.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
231,"[[ 2.25024728  8.70425321 10.        ]
 [ 5.66271019 10.         10.        ]
 [ 0.          4.42631058  5.48961424]]"
232,"[[ 0.          5.20607375  3.68763557]
 [ 5.42299349 10.         10.        ]
 [10.         10.         10.        ]]"
233,"[[ 0.          2.2246941   2.36373749]
 [ 5.64516129  8.06451613 10.        ]
 [ 9.09343715 10.         10.        ]]"
234,"[[ 1.03744939  3.31477733  0.        ]
 [10.         10.         10.        ]
 [ 9.4888664  10.         10.        ]]"
235,"[[ 0.          7.93650794 10.        ]
 [10.         10.         10.        ]
 [10.         10.         10.        ]]"
236,"[[ 0. 10. 10.]
 [10. 10. 10.]
 [10. 10. 10.]]"
237,"[[ 0.         10.          5.02431118]
 [10.         10.         10.        ]
 [10.          5.79416532  9.23824959]]"
